titulo_id,fornecedor,cnpj_fornecedor,categoria_despesa,data_emissao,data_vencimento,valor,status
PAG-70020,Avant Iluminação,10.006.390/0001-17,Insumos,2025-01-23,2025-02-07,-30818.41,Pago
PAG-70021,Avant Iluminação,10.006.461/0001-30,Insumos,2025-01-01,2025-01-31,-30206.95,Pago
PAG-70022,Tigre S.A.,10.006.532/0001-43,Insumos,2025-01-19,2025-03-05,-30010.66,Pago
PAG-70023,Tigre S.A.,10.006.603/0001-56,Insumos,2025-01-23,2025-02-20,-17365.68,Pago
PAG-70024,Tigre S.A.,10.006.674/0001-69,Insumos,2025-01-07,2025-02-21,-29681.42,Pago
PAG-70025,Intelbras,10.006.745/0001-82,Insumos,2025-01-05,2025-02-04,-26315.7,Pago
PAG-70026,Intelbras,10.006.816/0001-95,Insumos,2025-01-17,2025-03-03,-30296.15,Pago
PAG-70027,Steck do Brasil,10.006.887/0001-18,Insumos,2025-01-22,2025-02-06,-28096.0,Pago
PAG-70028,Steck do Brasil,10.006.958/0001-31,Insumos,2025-01-04,2025-02-18,-22249.82,Pago
PAG-70029,WEG Equipamentos,10.007.029/0001-44,Insumos,2025-01-27,2025-02-11,-24961.28,Pago
PAG-70030,Folha de Pagamento,10.007.100/0001-57,Folha,2025-01-06,2025-02-05,-28246.86,Pago
PAG-70031,Folha de Pagamento,10.007.171/0001-70,Folha,2025-01-17,2025-02-01,-40285.76,Pago
PAG-70032,Auriverde Imóveis,10.007.242/0001-83,Aluguel,2025-01-03,2025-02-17,-28219.07,Pago
PAG-70033,CPFL Energia,10.007.313/0001-96,Energia,2025-01-21,2025-02-05,-34979.93,Pago
PAG-70034,Marketing Digital Adoro,10.007.384/0001-19,Marketing,2025-01-09,2025-01-24,-9610.71,Pago
PAG-70035,Receita Federal,10.007.455/0001-32,Impostos,2025-01-28,2025-02-25,-29103.2,Pago
PAG-70036,Receita Federal,10.007.526/0001-45,Impostos,2025-01-06,2025-02-20,-22368.62,Em atraso
PAG-70037,Sefaz SP,10.007.597/0001-58,Impostos,2025-01-16,2025-02-15,-13098.08,Pago
PAG-70038,Prysmian Cabos do Brasil,10.007.668/0001-71,Insumos,2025-02-16,2025-04-02,-60598.45,Pago
PAG-70039,Prysmian Cabos do Brasil,10.007.739/0001-84,Insumos,2025-02-22,2025-04-08,-50921.67,Pago
PAG-70040,Prysmian Cabos do Brasil,10.007.810/0001-97,Insumos,2025-02-11,2025-03-28,-69116.59,Pago
PAG-70041,Prysmian Cabos do Brasil,10.007.881/0001-20,Insumos,2025-02-25,2025-04-11,-70462.28,Pago
PAG-70042,Prysmian Cabos do Brasil,10.007.952/0001-33,Insumos,2025-02-12,2025-02-27,-53343.81,Pago
PAG-70043,Prysmian Cabos do Brasil,10.008.023/0001-46,Insumos,2025-02-05,2025-03-05,-59133.98,Pago
PAG-70044,Prysmian Cabos do Brasil,10.008.094/0001-59,Insumos,2025-02-09,2025-03-26,-75469.98,Pago
PAG-70045,Prysmian Cabos do Brasil,10.008.165/0001-72,Insumos,2025-02-21,2025-04-07,-59580.8,Pago
PAG-70046,Prysmian Cabos do Brasil,10.008.236/0001-85,Insumos,2025-02-19,2025-03-06,-74630.26,Pago
PAG-70047,Prysmian Cabos do Brasil,10.008.307/0001-98,Insumos,2025-02-22,2025-04-08,-62247.82,Pago
PAG-70048,Prysmian Cabos do Brasil,10.008.378/0001-21,Insumos,2025-02-04,2025-03-04,-69535.25,Pago
PAG-70049,Prysmian Cabos do Brasil,10.008.449/0001-34,Insumos,2025-02-27,2025-03-27,-60137.82,Pago
PAG-70050,Schneider Electric Brasil,10.008.520/0001-47,Insumos,2025-02-11,2025-02-26,-51929.58,Pago
PAG-70051,Schneider Electric Brasil,10.008.591/0001-60,Insumos,2025-02-28,2025-03-15,-34877.09,Pago
PAG-70052,Schneider Electric Brasil,10.008.662/0001-73,Insumos,2025-02-18,2025-03-18,-38547.01,Pago
PAG-70053,Schneider Electric Brasil,10.008.733/0001-86,Insumos,2025-02-10,2025-02-25,-34070.72,Pago
PAG-70054,Schneider Electric Brasil,10.008.804/0001-99,Insumos,2025-02-15,2025-03-15,-33358.66,Em atraso
PAG-70055,Empalux Iluminação,10.008.875/0001-22,Insumos,2025-02-23,2025-03-25,-29519.63,Pago
PAG-70056,Empalux Iluminação,10.008.946/0001-35,Insumos,2025-02-09,2025-02-24,-24268.0,Pago
PAG-70057,Empalux Iluminação,10.009.017/0001-48,Insumos,2025-02-11,2025-03-28,-21191.81,Pago
PAG-70058,Avant Iluminação,10.009.088/0001-61,Insumos,2025-02-02,2025-03-19,-20379.86,Pago
PAG-70059,Avant Iluminação,10.009.159/0001-74,Insumos,2025-02-07,2025-02-22,-21307.01,Pago
PAG-70060,Tigre S.A.,10.009.230/0001-87,Insumos,2025-02-11,2025-03-11,-29103.67,Pago
PAG-70061,Tigre S.A.,10.009.301/0001-10,Insumos,2025-02-15,2025-03-15,-24410.94,Pago
PAG-70062,Tigre S.A.,10.009.372/0001-23,Insumos,2025-02-22,2025-04-08,-21831.58,Pago
PAG-70063,Intelbras,10.009.443/0001-36,Insumos,2025-02-22,2025-03-09,-23635.75,Pago
PAG-70064,Intelbras,10.009.514/0001-49,Insumos,2025-02-01,2025-03-03,-23739.07,Pago
PAG-70065,Steck do Brasil,10.009.585/0001-62,Insumos,2025-02-04,2025-03-04,-28626.45,Pago
PAG-70066,Steck do Brasil,10.009.656/0001-75,Insumos,2025-02-28,2025-03-30,-27422.37,Pago
PAG-70067,WEG Equipamentos,10.009.727/0001-88,Insumos,2025-02-25,2025-03-12,-29788.38,Pago
PAG-70068,Folha de Pagamento,10.009.798/0001-11,Folha,2025-02-19,2025-03-19,-25471.33,Pago
PAG-70069,Folha de Pagamento,10.009.869/0001-24,Folha,2025-02-27,2025-04-13,-28452.46,Pago
PAG-70070,Auriverde Imóveis,10.009.940/0001-37,Aluguel,2025-02-09,2025-03-11,-31466.46,Pago
PAG-70071,CPFL Energia,10.010.011/0001-50,Energia,2025-02-24,2025-03-26,-13325.13,Pago
PAG-70072,Marketing Digital Adoro,10.010.082/0001-63,Marketing,2025-02-27,2025-04-13,-16513.69,Pago
PAG-70073,Receita Federal,10.010.153/0001-76,Impostos,2025-02-23,2025-04-09,-19244.38,Pago
PAG-70074,Receita Federal,10.010.224/0001-89,Impostos,2025-02-01,2025-03-18,-26611.64,Pago
PAG-70075,Sefaz SP,10.010.295/0001-12,Impostos,2025-02-05,2025-02-20,-22997.2,Pago
PAG-70076,Prysmian Cabos do Brasil,10.010.366/0001-25,Insumos,2025-03-03,2025-03-31,-56403.4,Pago
PAG-70077,Prysmian Cabos do Brasil,10.010.437/0001-38,Insumos,2025-03-08,2025-04-07,-75218.99,Pago
PAG-70078,Prysmian Cabos do Brasil,10.010.508/0001-51,Insumos,2025-03-18,2025-04-17,-64925.25,Pago
PAG-70079,Prysmian Cabos do Brasil,10.010.579/0001-64,Insumos,2025-03-07,2025-04-06,-63599.92,Pago
PAG-70080,Prysmian Cabos do Brasil,10.010.650/0001-77,Insumos,2025-03-27,2025-04-26,-73005.64,Pago
PAG-70081,Prysmian Cabos do Brasil,10.010.721/0001-90,Insumos,2025-03-16,2025-03-31,-53281.56,Pago
PAG-70082,Prysmian Cabos do Brasil,10.010.792/0001-13,Insumos,2025-03-24,2025-04-08,-52164.83,Pago
PAG-70083,Prysmian Cabos do Brasil,10.010.863/0001-26,Insumos,2025-03-18,2025-04-15,-48597.31,Pago
PAG-70084,Prysmian Cabos do Brasil,10.010.934/0001-39,Insumos,2025-03-02,2025-03-30,-60770.03,Pago
PAG-70085,Prysmian Cabos do Brasil,10.011.005/0001-52,Insumos,2025-03-11,2025-04-25,-73124.47,Pago
PAG-70086,Prysmian Cabos do Brasil,10.011.076/0001-65,Insumos,2025-03-12,2025-03-27,-55175.83,Pago
PAG-70087,Prysmian Cabos do Brasil,10.011.147/0001-78,Insumos,2025-03-10,2025-04-24,-76838.88,Pago
PAG-70088,Schneider Electric Brasil,10.011.218/0001-91,Insumos,2025-03-24,2025-04-21,-24238.47,Pago
PAG-70089,Schneider Electric Brasil,10.011.289/0001-14,Insumos,2025-03-17,2025-04-14,-34684.03,Pago
PAG-70090,Schneider Electric Brasil,10.011.360/0001-27,Insumos,2025-03-05,2025-04-04,-40320.87,Pago
PAG-70091,Schneider Electric Brasil,10.011.431/0001-40,Insumos,2025-03-06,2025-04-05,-32620.31,Pago
PAG-70092,Schneider Electric Brasil,10.011.502/0001-53,Insumos,2025-03-05,2025-04-04,-52271.12,Pago
PAG-70093,Empalux Iluminação,10.011.573/0001-66,Insumos,2025-03-21,2025-04-18,-23456.22,Pago
PAG-70094,Empalux Iluminação,10.011.644/0001-79,Insumos,2025-03-21,2025-05-05,-19903.48,Pago
PAG-70095,Empalux Iluminação,10.011.715/0001-92,Insumos,2025-03-27,2025-04-26,-21767.79,Pago
PAG-70096,Avant Iluminação,10.011.786/0001-15,Insumos,2025-03-10,2025-04-07,-20000.16,Pago
PAG-70097,Avant Iluminação,10.011.857/0001-28,Insumos,2025-03-25,2025-04-24,-27963.42,Pago
PAG-70098,Tigre S.A.,10.011.928/0001-41,Insumos,2025-03-20,2025-04-17,-22717.84,Pago
PAG-70099,Tigre S.A.,10.011.999/0001-54,Insumos,2025-03-21,2025-04-20,-22053.42,Pago
PAG-70100,Tigre S.A.,10.012.070/0001-67,Insumos,2025-03-11,2025-04-10,-22098.31,Pago
PAG-70101,Intelbras,10.012.141/0001-80,Insumos,2025-03-13,2025-03-28,-32971.67,Pago
PAG-70102,Intelbras,10.012.212/0001-93,Insumos,2025-03-21,2025-04-05,-38911.49,Pago
PAG-70103,Steck do Brasil,10.012.283/0001-16,Insumos,2025-03-28,2025-04-27,-40170.92,Pago
PAG-70104,Steck do Brasil,10.012.354/0001-29,Insumos,2025-03-14,2025-04-11,-33479.65,Pago
PAG-70105,WEG Equipamentos,10.012.425/0001-42,Insumos,2025-03-10,2025-03-25,-19310.3,Pago
PAG-70106,Folha de Pagamento,10.012.496/0001-55,Folha,2025-03-24,2025-04-08,-8894.39,Pago
PAG-70107,Folha de Pagamento,10.012.567/0001-68,Folha,2025-03-28,2025-04-27,-34625.65,Em atraso
PAG-70108,Auriverde Imóveis,10.012.638/0001-81,Aluguel,2025-03-15,2025-04-29,-23845.66,Pago
PAG-70109,CPFL Energia,10.012.709/0001-94,Energia,2025-03-08,2025-04-05,-12783.63,Pago
PAG-70110,Marketing Digital Adoro,10.012.780/0001-17,Marketing,2025-03-27,2025-04-24,-21839.1,Pago
PAG-70111,Receita Federal,10.012.851/0001-30,Impostos,2025-03-11,2025-04-08,-41624.35,Pago
PAG-70112,Receita Federal,10.012.922/0001-43,Impostos,2025-03-11,2025-04-25,-30345.08,Pago
PAG-70113,Sefaz SP,10.012.993/0001-56,Impostos,2025-03-17,2025-04-16,-10369.16,Pago
PAG-70114,Prysmian Cabos do Brasil,10.013.064/0001-69,Insumos,2025-04-12,2025-05-12,-67577.87,Pago
PAG-70115,Prysmian Cabos do Brasil,10.013.135/0001-82,Insumos,2025-04-18,2025-05-03,-48089.46,Pago
PAG-70116,Prysmian Cabos do Brasil,10.013.206/0001-95,Insumos,2025-04-12,2025-04-27,-76289.96,Pago
PAG-70117,Prysmian Cabos do Brasil,10.013.277/0001-18,Insumos,2025-04-22,2025-05-07,-56746.38,Pago
PAG-70118,Prysmian Cabos do Brasil,10.013.348/0001-31,Insumos,2025-04-12,2025-05-27,-56556.98,Pago
PAG-70119,Prysmian Cabos do Brasil,10.013.419/0001-44,Insumos,2025-04-10,2025-04-25,-48879.68,Pago
PAG-70120,Prysmian Cabos do Brasil,10.013.490/0001-57,Insumos,2025-04-22,2025-05-07,-60748.33,Pago
PAG-70121,Prysmian Cabos do Brasil,10.013.561/0001-70,Insumos,2025-04-04,2025-05-04,-68185.39,Pago
PAG-70122,Prysmian Cabos do Brasil,10.013.632/0001-83,Insumos,2025-04-24,2025-05-09,-55456.95,Pago
PAG-70123,Prysmian Cabos do Brasil,10.013.703/0001-96,Insumos,2025-04-05,2025-05-05,-66253.24,Pago
PAG-70124,Prysmian Cabos do Brasil,10.013.774/0001-19,Insumos,2025-04-03,2025-05-03,-48932.92,Pago
PAG-70125,Prysmian Cabos do Brasil,10.013.845/0001-32,Insumos,2025-04-12,2025-05-27,-74525.58,Pago
PAG-70126,Schneider Electric Brasil,10.013.916/0001-45,Insumos,2025-04-03,2025-04-18,-32448.23,Pago
PAG-70127,Schneider Electric Brasil,10.013.987/0001-58,Insumos,2025-04-24,2025-05-24,-43254.43,Pago
PAG-70128,Schneider Electric Brasil,10.014.058/0001-71,Insumos,2025-04-17,2025-05-02,-28349.89,Pago
PAG-70129,Schneider Electric Brasil,10.014.129/0001-84,Insumos,2025-04-03,2025-05-03,-26146.51,Em atraso
PAG-70130,Schneider Electric Brasil,10.014.200/0001-97,Insumos,2025-04-14,2025-04-29,-23599.95,Pago
PAG-70131,Empalux Iluminação,10.014.271/0001-20,Insumos,2025-04-23,2025-05-21,-34974.24,Pago
PAG-70132,Empalux Iluminação,10.014.342/0001-33,Insumos,2025-04-06,2025-05-06,-12126.33,Pago
PAG-70133,Empalux Iluminação,10.014.413/0001-46,Insumos,2025-04-26,2025-06-10,-29396.88,Pago
PAG-70134,Avant Iluminação,10.014.484/0001-59,Insumos,2025-04-03,2025-05-01,-25890.88,Pago
PAG-70135,Avant Iluminação,10.014.555/0001-72,Insumos,2025-04-21,2025-06-05,-18610.53,Pago
PAG-70136,Tigre S.A.,10.014.626/0001-85,Insumos,2025-04-28,2025-05-26,-25322.53,Pago
PAG-70137,Tigre S.A.,10.014.697/0001-98,Insumos,2025-04-20,2025-05-20,-29046.36,Pago
PAG-70138,Tigre S.A.,10.014.768/0001-21,Insumos,2025-04-20,2025-05-18,-19862.15,Pago
PAG-70139,Intelbras,10.014.839/0001-34,Insumos,2025-04-14,2025-05-12,-16179.15,Em atraso
PAG-70140,Intelbras,10.014.910/0001-47,Insumos,2025-04-01,2025-04-29,-17517.75,Pago
PAG-70141,Steck do Brasil,10.014.981/0001-60,Insumos,2025-04-14,2025-05-29,-24726.44,Pago
PAG-70142,Steck do Brasil,10.015.052/0001-73,Insumos,2025-04-20,2025-05-20,-30599.5,Pago
PAG-70143,WEG Equipamentos,10.015.123/0001-86,Insumos,2025-04-12,2025-05-27,-22592.65,Pago
PAG-70144,Folha de Pagamento,10.015.194/0001-99,Folha,2025-04-12,2025-05-12,-30405.64,Pago
PAG-70145,Folha de Pagamento,10.015.265/0001-22,Folha,2025-04-13,2025-05-28,-29484.54,Pago
PAG-70146,Auriverde Imóveis,10.015.336/0001-35,Aluguel,2025-04-08,2025-05-06,-19590.52,Pago
PAG-70147,CPFL Energia,10.015.407/0001-48,Energia,2025-04-15,2025-05-30,-21407.54,Em atraso
PAG-70148,Marketing Digital Adoro,10.015.478/0001-61,Marketing,2025-04-19,2025-06-03,-706.63,Pago
PAG-70149,Receita Federal,10.015.549/0001-74,Impostos,2025-04-16,2025-05-31,-10118.18,Pago
PAG-70150,Receita Federal,10.015.620/0001-87,Impostos,2025-04-13,2025-05-13,-26730.89,Pago
PAG-70151,Sefaz SP,10.015.691/0001-10,Impostos,2025-04-04,2025-04-19,-29372.76,Pago
PAG-70152,Prysmian Cabos do Brasil,10.015.762/0001-23,Insumos,2025-05-19,2025-06-18,-61911.28,Pago
PAG-70153,Prysmian Cabos do Brasil,10.015.833/0001-36,Insumos,2025-05-28,2025-06-25,-59995.84,Pago
PAG-70154,Prysmian Cabos do Brasil,10.015.904/0001-49,Insumos,2025-05-12,2025-06-09,-65806.07,Pago
PAG-70155,Prysmian Cabos do Brasil,10.015.975/0001-62,Insumos,2025-05-01,2025-05-29,-51149.88,Pago
PAG-70156,Prysmian Cabos do Brasil,10.016.046/0001-75,Insumos,2025-05-02,2025-06-16,-55362.85,Pago
PAG-70157,Prysmian Cabos do Brasil,10.016.117/0001-88,Insumos,2025-05-12,2025-06-11,-80449.9,Pago
PAG-70158,Prysmian Cabos do Brasil,10.016.188/0001-11,Insumos,2025-05-25,2025-06-22,-61273.77,Pago
PAG-70159,Prysmian Cabos do Brasil,10.016.259/0001-24,Insumos,2025-05-28,2025-06-12,-73425.37,Em atraso
PAG-70160,Prysmian Cabos do Brasil,10.016.330/0001-37,Insumos,2025-05-05,2025-06-04,-72006.49,Pago
PAG-70161,Prysmian Cabos do Brasil,10.016.401/0001-50,Insumos,2025-05-12,2025-06-11,-62269.53,Pago
PAG-70162,Prysmian Cabos do Brasil,10.016.472/0001-63,Insumos,2025-05-01,2025-05-31,-78161.25,Pago
PAG-70163,Prysmian Cabos do Brasil,10.016.543/0001-76,Insumos,2025-05-24,2025-06-21,-66930.28,Pago
PAG-70164,Schneider Electric Brasil,10.016.614/0001-89,Insumos,2025-05-27,2025-06-24,-34816.44,Pago
PAG-70165,Schneider Electric Brasil,10.016.685/0001-12,Insumos,2025-05-13,2025-06-10,-39835.53,Pago
PAG-70166,Schneider Electric Brasil,10.016.756/0001-25,Insumos,2025-05-24,2025-06-21,-30669.33,Pago
PAG-70167,Schneider Electric Brasil,10.016.827/0001-38,Insumos,2025-05-16,2025-06-13,-16766.63,Pago
PAG-70168,Schneider Electric Brasil,10.016.898/0001-51,Insumos,2025-05-26,2025-06-10,-34205.41,Pago
PAG-70169,Empalux Iluminação,10.016.969/0001-64,Insumos,2025-05-03,2025-06-02,-29094.65,Pago
PAG-70170,Empalux Iluminação,10.017.040/0001-77,Insumos,2025-05-08,2025-06-07,-20433.69,Pago
PAG-70171,Empalux Iluminação,10.017.111/0001-90,Insumos,2025-05-24,2025-06-08,-30228.52,Pago
PAG-70172,Avant Iluminação,10.017.182/0001-13,Insumos,2025-05-16,2025-06-15,-13778.08,Pago
PAG-70173,Avant Iluminação,10.017.253/0001-26,Insumos,2025-05-21,2025-07-05,-24307.12,Pago
PAG-70174,Tigre S.A.,10.017.324/0001-39,Insumos,2025-05-19,2025-06-03,-15083.14,Pago
PAG-70175,Tigre S.A.,10.017.395/0001-52,Insumos,2025-05-15,2025-06-12,-7244.52,Pago
PAG-70176,Tigre S.A.,10.017.466/0001-65,Insumos,2025-05-01,2025-06-15,-28412.4,Pago
PAG-70177,Intelbras,10.017.537/0001-78,Insumos,2025-05-21,2025-06-20,-10349.98,Pago
PAG-70178,Intelbras,10.017.608/0001-91,Insumos,2025-05-15,2025-06-29,-1591.57,Pago
PAG-70179,Steck do Brasil,10.017.679/0001-14,Insumos,2025-05-07,2025-06-21,-31907.86,Pago
PAG-70180,Steck do Brasil,10.017.750/0001-27,Insumos,2025-05-18,2025-06-15,-21198.89,Em atraso
PAG-70181,WEG Equipamentos,10.017.821/0001-40,Insumos,2025-05-09,2025-05-24,-16581.84,Pago
PAG-70182,Folha de Pagamento,10.017.892/0001-53,Folha,2025-05-06,2025-06-03,-19163.58,Pago
PAG-70183,Folha de Pagamento,10.017.963/0001-66,Folha,2025-05-15,2025-06-12,-32209.71,Pago
PAG-70184,Auriverde Imóveis,10.018.034/0001-79,Aluguel,2025-05-20,2025-07-04,-16841.85,Pago
PAG-70185,CPFL Energia,10.018.105/0001-92,Energia,2025-05-20,2025-06-19,-23155.01,Pago
PAG-70186,Marketing Digital Adoro,10.018.176/0001-15,Marketing,2025-05-27,2025-06-24,-35660.02,Pago
PAG-70187,Receita Federal,10.018.247/0001-28,Impostos,2025-05-16,2025-06-30,-25147.77,Em atraso
PAG-70188,Receita Federal,10.018.318/0001-41,Impostos,2025-05-08,2025-06-07,-16587.26,Pago
PAG-70189,Sefaz SP,10.018.389/0001-54,Impostos,2025-05-03,2025-05-18,-18666.14,Em atraso
PAG-70190,Prysmian Cabos do Brasil,10.018.460/0001-67,Insumos,2025-06-15,2025-06-30,-65343.1,Pago
PAG-70191,Prysmian Cabos do Brasil,10.018.531/0001-80,Insumos,2025-06-13,2025-07-13,-70908.52,Pago
PAG-70192,Prysmian Cabos do Brasil,10.018.602/0001-93,Insumos,2025-06-18,2025-07-18,-85245.88,Em atraso
PAG-70193,Prysmian Cabos do Brasil,10.018.673/0001-16,Insumos,2025-06-18,2025-07-16,-72328.65,Em atraso
PAG-70194,Prysmian Cabos do Brasil,10.018.744/0001-29,Insumos,2025-06-09,2025-07-09,-60897.3,Pago
PAG-70195,Prysmian Cabos do Brasil,10.018.815/0001-42,Insumos,2025-06-02,2025-06-17,-59454.82,Pago
PAG-70196,Prysmian Cabos do Brasil,10.018.886/0001-55,Insumos,2025-06-06,2025-06-21,-71319.73,Pago
PAG-70197,Prysmian Cabos do Brasil,10.018.957/0001-68,Insumos,2025-06-10,2025-07-25,-67598.15,Pago
PAG-70198,Prysmian Cabos do Brasil,10.019.028/0001-81,Insumos,2025-06-21,2025-07-19,-60063.5,Pago
PAG-70199,Prysmian Cabos do Brasil,10.019.099/0001-94,Insumos,2025-06-26,2025-07-24,-61995.54,Pago
PAG-70200,Prysmian Cabos do Brasil,10.019.170/0001-17,Insumos,2025-06-06,2025-06-21,-53351.01,Pago
PAG-70201,Prysmian Cabos do Brasil,10.019.241/0001-30,Insumos,2025-06-14,2025-07-29,-75843.87,Pago
PAG-70202,Schneider Electric Brasil,10.019.312/0001-43,Insumos,2025-06-14,2025-07-12,-32082.89,Pago
PAG-70203,Schneider Electric Brasil,10.019.383/0001-56,Insumos,2025-06-11,2025-07-26,-41745.64,Pago
PAG-70204,Schneider Electric Brasil,10.019.454/0001-69,Insumos,2025-06-16,2025-07-01,-29123.76,Em atraso
PAG-70205,Schneider Electric Brasil,10.019.525/0001-82,Insumos,2025-06-23,2025-08-07,-56222.13,Pago
PAG-70206,Schneider Electric Brasil,10.019.596/0001-95,Insumos,2025-06-05,2025-07-05,-29898.84,Pago
PAG-70207,Empalux Iluminação,10.019.667/0001-18,Insumos,2025-06-23,2025-07-08,-38403.3,Pago
PAG-70208,Empalux Iluminação,10.019.738/0001-31,Insumos,2025-06-03,2025-07-18,-24073.21,Pago
PAG-70209,Empalux Iluminação,10.019.809/0001-44,Insumos,2025-06-26,2025-07-26,-28718.99,Pago
PAG-70210,Avant Iluminação,10.019.880/0001-57,Insumos,2025-06-18,2025-07-03,-35738.41,Pago
PAG-70211,Avant Iluminação,10.019.951/0001-70,Insumos,2025-06-21,2025-08-05,-31919.2,Pago
PAG-70212,Tigre S.A.,10.020.022/0001-83,Insumos,2025-06-24,2025-08-08,-32152.15,Pago
PAG-70213,Tigre S.A.,10.020.093/0001-96,Insumos,2025-06-01,2025-07-16,-19383.85,Em atraso
PAG-70214,Tigre S.A.,10.020.164/0001-19,Insumos,2025-06-26,2025-07-26,-26269.87,Pago
PAG-70215,Intelbras,10.020.235/0001-32,Insumos,2025-06-05,2025-07-05,-25130.76,Pago
PAG-70216,Intelbras,10.020.306/0001-45,Insumos,2025-06-04,2025-07-19,-26756.96,Pago
PAG-70217,Steck do Brasil,10.020.377/0001-58,Insumos,2025-06-26,2025-07-24,-30476.64,Pago
PAG-70218,Steck do Brasil,10.020.448/0001-71,Insumos,2025-06-05,2025-07-20,-6124.59,Pago
PAG-70219,WEG Equipamentos,10.020.519/0001-84,Insumos,2025-06-12,2025-07-10,-30770.17,Pago
PAG-70220,Folha de Pagamento,10.020.590/0001-97,Folha,2025-06-21,2025-07-06,-33218.84,Pago
PAG-70221,Folha de Pagamento,10.020.661/0001-20,Folha,2025-06-19,2025-07-19,-32129.49,Pago
PAG-70222,Auriverde Imóveis,10.020.732/0001-33,Aluguel,2025-06-15,2025-06-30,-20064.75,Pago
PAG-70223,CPFL Energia,10.020.803/0001-46,Energia,2025-06-03,2025-07-18,-13855.11,Pago
PAG-70224,Marketing Digital Adoro,10.020.874/0001-59,Marketing,2025-06-25,2025-07-25,-27553.82,Pago
PAG-70225,Receita Federal,10.020.945/0001-72,Impostos,2025-06-17,2025-07-02,-19475.32,Pago
PAG-70226,Receita Federal,10.021.016/0001-85,Impostos,2025-06-27,2025-07-12,-16056.56,Pago
PAG-70227,Sefaz SP,10.021.087/0001-98,Impostos,2025-06-11,2025-07-09,-15385.07,Pago
PAG-70228,Prysmian Cabos do Brasil,10.021.158/0001-21,Insumos,2025-07-14,2025-08-28,-69201.71,Em atraso
PAG-70229,Prysmian Cabos do Brasil,10.021.229/0001-34,Insumos,2025-07-04,2025-08-03,-75445.81,Em atraso
PAG-70230,Prysmian Cabos do Brasil,10.021.300/0001-47,Insumos,2025-07-27,2025-09-10,-64896.46,Pago
PAG-70231,Prysmian Cabos do Brasil,10.021.371/0001-60,Insumos,2025-07-21,2025-08-20,-89607.52,Pago
PAG-70232,Prysmian Cabos do Brasil,10.021.442/0001-73,Insumos,2025-07-06,2025-08-20,-78889.73,Pago
PAG-70233,Prysmian Cabos do Brasil,10.021.513/0001-86,Insumos,2025-07-02,2025-07-17,-55316.15,Pago
PAG-70234,Prysmian Cabos do Brasil,10.021.584/0001-99,Insumos,2025-07-18,2025-08-17,-93668.34,Pago
PAG-70235,Prysmian Cabos do Brasil,10.021.655/0001-22,Insumos,2025-07-04,2025-08-01,-75898.92,Pago
PAG-70236,Prysmian Cabos do Brasil,10.021.726/0001-35,Insumos,2025-07-28,2025-08-25,-79410.94,Pago
