data,tipo,categoria,descricao,valor,saldo_acumulado,conta
2025-07-09,Entrada,Outras Receitas,Liquidação boleto,20455.99,611022.48,Itaú-PJ
2025-07-09,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-13578.06,597444.42,Itaú-PJ
2025-07-09,Saída,Aluguel,Aluguel,-21284.25,576160.17,Itaú-PJ
2025-07-09,Saída,Impostos,Impostos,-21095.56,555064.61,BB-PJ
2025-07-10,Entrada,Recebimento Cliente,Liquidação boleto,10365.7,565430.31,Caixa
2025-07-10,Entrada,Recebimento Cliente,Liquidação boleto,24838.18,590268.49,Caixa
2025-07-10,Entrada,Recebimento Cliente,PIX cliente,13158.61,603427.1,Caixa
2025-07-10,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-17643.66,585783.44,Itaú-PJ
2025-07-10,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-26965.09,558818.35,BB-PJ
2025-07-11,Entrada,Recebimento Cliente,PIX cliente,26421.16,585239.51,Itaú-PJ
2025-07-11,Entrada,Recebimento Cliente,Liquidação boleto,54382.35,639621.86,Caixa
2025-07-11,Entrada,Recebimento Cliente,Liquidação boleto,15519.13,655140.99,BB-PJ
2025-07-11,Entrada,Recebimento Cliente,Liquidação boleto,25598.84,680739.83,Itaú-PJ
2025-07-11,Entrada,Recebimento Cliente,PIX cliente,10803.84,691543.67,Itaú-PJ
2025-07-11,Entrada,Recebimento Cliente,Liquidação boleto,26622.0,718165.67,Itaú-PJ
2025-07-11,Saída,Energia/Util,Energia/Util,-7070.21,711095.46,Itaú-PJ
2025-07-11,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-15419.44,695676.02,BB-PJ
2025-07-11,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-21639.37,674036.65,Itaú-PJ
2025-07-12,Saída,Energia/Util,Energia/Util,-7373.0,666663.65,Itaú-PJ
2025-07-12,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-15225.86,651437.79,Itaú-PJ
2025-07-12,Saída,Folha,Folha,-14648.69,636789.1,BB-PJ
2025-07-12,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-17067.01,619722.09,BB-PJ
2025-07-12,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-21226.11,598495.98,Itaú-PJ
2025-07-12,Saída,Frete,Frete,-20871.17,577624.81,Itaú-PJ
2025-07-13,Saída,Frete,Frete,-17903.79,559721.02,Itaú-PJ
2025-07-13,Saída,Frete,Frete,-16154.21,543566.81,Itaú-PJ
2025-07-13,Saída,Impostos,Impostos,-12320.83,531245.98,Itaú-PJ
2025-07-13,Saída,Impostos,Impostos,-19464.48,511781.5,BB-PJ
2025-07-13,Saída,Folha,Folha,-16306.69,495474.81,BB-PJ
2025-07-13,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-2866.52,492608.29,Itaú-PJ
2025-07-14,Entrada,Outras Receitas,PIX cliente,54288.95,546897.24,Itaú-PJ
2025-07-14,Entrada,Recebimento Cliente,Liquidação boleto,32148.77,579046.01,Itaú-PJ
2025-07-14,Entrada,Recebimento Cliente,Liquidação boleto,27948.84,606994.85,BB-PJ
2025-07-14,Entrada,Recebimento Cliente,Liquidação boleto,15573.68,622568.53,Caixa
2025-07-14,Entrada,Recebimento Cliente,Liquidação boleto,20869.28,643437.81,Itaú-PJ
2025-07-14,Entrada,Recebimento Cliente,PIX cliente,35607.42,679045.23,BB-PJ
2025-07-14,Saída,Folha,Folha,-3082.43,675962.8,Itaú-PJ
2025-07-14,Saída,Marketing,Marketing,-17585.76,658377.04,BB-PJ
2025-07-14,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-10919.74,647457.3,Itaú-PJ
2025-07-15,Entrada,Outras Receitas,PIX cliente,30042.12,677499.42,BB-PJ
2025-07-15,Entrada,Recebimento Cliente,PIX cliente,46979.81,724479.23,Itaú-PJ
2025-07-15,Entrada,Recebimento Cliente,PIX cliente,25866.04,750345.27,Caixa
2025-07-15,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-19445.17,730900.1,Itaú-PJ
2025-07-15,Saída,Outras,Outras,-25189.93,705710.17,BB-PJ
2025-07-16,Entrada,Outras Receitas,Liquidação boleto,32456.37,738166.54,Itaú-PJ
2025-07-16,Entrada,Recebimento Cliente,PIX cliente,19324.95,757491.49,Itaú-PJ
2025-07-16,Entrada,Outras Receitas,PIX cliente,2042.99,759534.48,Itaú-PJ
2025-07-16,Entrada,Recebimento Cliente,Liquidação boleto,20218.97,779753.45,Itaú-PJ
2025-07-16,Entrada,Recebimento Cliente,Liquidação boleto,17010.15,796763.6,Itaú-PJ
2025-07-16,Entrada,Outras Receitas,PIX cliente,48931.51,845695.11,Caixa
2025-07-16,Entrada,Outras Receitas,PIX cliente,24795.71,870490.82,Caixa
2025-07-16,Saída,Folha,Folha,-22811.95,847678.87,BB-PJ
2025-07-16,Saída,Energia/Util,Energia/Util,-13120.93,834557.94,BB-PJ
2025-07-16,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-7608.12,826949.82,BB-PJ
2025-07-17,Entrada,Recebimento Cliente,PIX cliente,43873.39,870823.21,BB-PJ
2025-07-17,Entrada,Recebimento Cliente,Liquidação boleto,29691.59,900514.8,Itaú-PJ
2025-07-17,Entrada,Recebimento Cliente,Liquidação boleto,25489.33,926004.13,Itaú-PJ
2025-07-17,Entrada,Outras Receitas,PIX cliente,41795.09,967799.22,Caixa
2025-07-17,Entrada,Recebimento Cliente,Liquidação boleto,18855.82,986655.04,Caixa
2025-07-17,Saída,Folha,Folha,-17950.88,968704.16,BB-PJ
2025-07-17,Saída,Impostos,Impostos,-12279.36,956424.8,Itaú-PJ
2025-07-18,Entrada,Outras Receitas,Liquidação boleto,38706.77,995131.57,Caixa
2025-07-18,Entrada,Recebimento Cliente,Liquidação boleto,44322.58,1039454.15,Itaú-PJ
2025-07-18,Entrada,Recebimento Cliente,Liquidação boleto,19835.93,1059290.08,BB-PJ
2025-07-18,Entrada,Recebimento Cliente,PIX cliente,34092.53,1093382.61,Caixa
2025-07-18,Entrada,Recebimento Cliente,Liquidação boleto,26820.14,1120202.75,BB-PJ
2025-07-18,Entrada,Recebimento Cliente,Liquidação boleto,42266.44,1162469.19,Itaú-PJ
2025-07-18,Saída,Impostos,Impostos,-11054.2,1151414.99,Itaú-PJ
2025-07-18,Saída,Folha,Folha,-18477.11,1132937.88,Itaú-PJ
2025-07-18,Saída,Folha,Folha,-821.15,1132116.73,BB-PJ
2025-07-18,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-7869.55,1124247.18,Itaú-PJ
2025-07-18,Saída,Aluguel,Aluguel,-5809.92,1118437.26,Itaú-PJ
2025-07-18,Saída,Impostos,Impostos,-14402.01,1104035.25,BB-PJ
2025-07-19,Saída,Frete,Frete,-15849.82,1088185.43,Itaú-PJ
2025-07-19,Saída,Impostos,Impostos,-11053.93,1077131.5,Itaú-PJ
2025-07-20,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-4672.38,1072459.12,BB-PJ
2025-07-20,Saída,Aluguel,Aluguel,-154.02,1072305.1,Itaú-PJ
2025-07-20,Saída,Frete,Frete,-5779.55,1066525.55,BB-PJ
2025-07-20,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-4791.58,1061733.97,Itaú-PJ
2025-07-21,Entrada,Outras Receitas,PIX cliente,29876.12,1091610.09,Caixa
2025-07-21,Entrada,Outras Receitas,Liquidação boleto,39547.18,1131157.27,Caixa
2025-07-21,Entrada,Recebimento Cliente,PIX cliente,500,1131657.27,BB-PJ
2025-07-21,Entrada,Recebimento Cliente,PIX cliente,14776.53,1146433.8,Itaú-PJ
2025-07-21,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-23559.71,1122874.09,BB-PJ
2025-07-21,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-19142.47,1103731.62,BB-PJ
2025-07-21,Saída,Impostos,Impostos,-26925.87,1076805.75,BB-PJ
2025-07-21,Saída,Impostos,Impostos,-9003.57,1067802.18,Itaú-PJ
2025-07-21,Saída,Energia/Util,Energia/Util,-10674.01,1057128.17,BB-PJ
2025-07-21,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-3399.95,1053728.22,BB-PJ
2025-07-22,Entrada,Outras Receitas,Liquidação boleto,26611.62,1080339.84,Caixa
2025-07-22,Entrada,Recebimento Cliente,Liquidação boleto,7900.81,1088240.65,Caixa
2025-07-22,Entrada,Outras Receitas,Liquidação boleto,38435.77,1126676.42,BB-PJ
2025-07-22,Entrada,Outras Receitas,PIX cliente,26418.12,1153094.54,Caixa
2025-07-22,Entrada,Recebimento Cliente,Liquidação boleto,40247.06,1193341.6,BB-PJ
2025-07-22,Saída,Aluguel,Aluguel,-3377.58,1189964.02,Itaú-PJ
2025-07-22,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-11971.38,1177992.64,BB-PJ
2025-07-22,Saída,Energia/Util,Energia/Util,-15507.51,1162485.13,BB-PJ
2025-07-22,Saída,Frete,Frete,-4174.68,1158310.45,BB-PJ
2025-07-22,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-14135.1,1144175.35,BB-PJ
2025-07-22,Saída,Impostos,Impostos,-24235.31,1119940.04,Itaú-PJ
2025-07-23,Entrada,Recebimento Cliente,PIX cliente,61475.93,1181415.97,Itaú-PJ
2025-07-23,Entrada,Recebimento Cliente,Liquidação boleto,20456.05,1201872.02,Caixa
2025-07-23,Entrada,Recebimento Cliente,Liquidação boleto,44172.68,1246044.7,Itaú-PJ
2025-07-23,Saída,Aluguel,Aluguel,-25380.56,1220664.14,Itaú-PJ
2025-07-23,Saída,Folha,Folha,-9629.96,1211034.18,Itaú-PJ
2025-07-23,Saída,Frete,Frete,-8298.29,1202735.89,Itaú-PJ
2025-07-23,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-13643.01,1189092.88,Itaú-PJ
2025-07-23,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-25513.65,1163579.23,Itaú-PJ
2025-07-23,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-35547.73,1128031.5,Itaú-PJ
2025-07-24,Entrada,Recebimento Cliente,PIX cliente,45686.46,1173717.96,BB-PJ
2025-07-24,Entrada,Outras Receitas,Liquidação boleto,23975.92,1197693.88,BB-PJ
2025-07-24,Entrada,Recebimento Cliente,Liquidação boleto,46492.04,1244185.92,BB-PJ
2025-07-24,Entrada,Recebimento Cliente,Liquidação boleto,29181.86,1273367.78,Caixa
2025-07-24,Entrada,Outras Receitas,Liquidação boleto,25232.49,1298600.27,Itaú-PJ
2025-07-24,Entrada,Recebimento Cliente,Liquidação boleto,500,1299100.27,Caixa
2025-07-24,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-12206.49,1286893.78,BB-PJ
2025-07-24,Saída,Folha,Folha,-17749.6,1269144.18,BB-PJ
2025-07-24,Saída,Impostos,Impostos,-3879.87,1265264.31,BB-PJ
2025-07-25,Entrada,Recebimento Cliente,PIX cliente,24166.51,1289430.82,BB-PJ
2025-07-25,Entrada,Outras Receitas,PIX cliente,28697.35,1318128.17,BB-PJ
2025-07-25,Entrada,Recebimento Cliente,PIX cliente,19698.33,1337826.5,Itaú-PJ
2025-07-25,Entrada,Recebimento Cliente,PIX cliente,34483.43,1372309.93,Itaú-PJ
2025-07-25,Saída,Folha,Folha,-2395.32,1369914.61,BB-PJ
2025-07-25,Saída,Outras,Outras,-12416.04,1357498.57,BB-PJ
2025-07-25,Saída,Frete,Frete,-19338.39,1338160.18,BB-PJ
2025-07-25,Saída,Folha,Folha,-28726.12,1309434.06,BB-PJ
2025-07-26,Saída,Impostos,Impostos,-12232.43,1297201.63,Itaú-PJ
2025-07-26,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-14335.89,1282865.74,Itaú-PJ
2025-07-26,Saída,Impostos,Impostos,-10672.96,1272192.78,Itaú-PJ
2025-07-26,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-31308.71,1240884.07,BB-PJ
2025-07-26,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-13394.41,1227489.66,BB-PJ
2025-07-27,Saída,Frete,Frete,-16221.22,1211268.44,Itaú-PJ
2025-07-27,Saída,Frete,Frete,-11630.5,1199637.94,BB-PJ
2025-07-27,Saída,Folha,Folha,-9962.23,1189675.71,BB-PJ
2025-07-27,Saída,Frete,Frete,-9949.09,1179726.62,BB-PJ
2025-07-28,Entrada,Recebimento Cliente,PIX cliente,39106.68,1218833.3,BB-PJ
2025-07-28,Entrada,Recebimento Cliente,Liquidação boleto,18430.2,1237263.5,Itaú-PJ
2025-07-28,Entrada,Recebimento Cliente,Liquidação boleto,55382.41,1292645.91,Itaú-PJ
2025-07-28,Entrada,Recebimento Cliente,Liquidação boleto,42797.84,1335443.75,Itaú-PJ
2025-07-28,Entrada,Recebimento Cliente,Liquidação boleto,36321.19,1371764.94,Itaú-PJ
2025-07-28,Saída,Impostos,Impostos,-18022.13,1353742.81,Itaú-PJ
2025-07-28,Saída,Outras,Outras,-23291.61,1330451.2,BB-PJ
2025-07-28,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-3270.51,1327180.69,Itaú-PJ
2025-07-28,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-22486.32,1304694.37,BB-PJ
2025-07-28,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-1357.98,1303336.39,BB-PJ
2025-07-29,Entrada,Recebimento Cliente,PIX cliente,9153.4,1312489.79,Itaú-PJ
2025-07-29,Entrada,Recebimento Cliente,Liquidação boleto,8674.02,1321163.81,Itaú-PJ
2025-07-29,Entrada,Recebimento Cliente,Liquidação boleto,28274.79,1349438.6,BB-PJ
2025-07-29,Entrada,Outras Receitas,Liquidação boleto,32875.42,1382314.02,Itaú-PJ
2025-07-29,Entrada,Recebimento Cliente,Liquidação boleto,25643.86,1407957.88,Itaú-PJ
2025-07-29,Entrada,Outras Receitas,Liquidação boleto,33401.87,1441359.75,BB-PJ
2025-07-29,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-11495.96,1429863.79,Itaú-PJ
2025-07-29,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-12142.35,1417721.44,Itaú-PJ
2025-07-29,Saída,Energia/Util,Energia/Util,-23790.81,1393930.63,BB-PJ
2025-07-29,Saída,Energia/Util,Energia/Util,-21009.14,1372921.49,Itaú-PJ
2025-07-29,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-14210.93,1358710.56,Itaú-PJ
2025-07-29,Saída,Aluguel,Aluguel,-11747.74,1346962.82,Itaú-PJ
2025-07-30,Entrada,Outras Receitas,Liquidação boleto,37571.77,1384534.59,BB-PJ
2025-07-30,Entrada,Outras Receitas,Liquidação boleto,12844.15,1397378.74,BB-PJ
2025-07-30,Entrada,Recebimento Cliente,PIX cliente,28568.69,1425947.43,Itaú-PJ
2025-07-30,Entrada,Recebimento Cliente,PIX cliente,23959.53,1449906.96,Caixa
2025-07-30,Saída,Aluguel,Aluguel,-13683.66,1436223.3,Itaú-PJ
2025-07-30,Saída,Folha,Folha,-11553.32,1424669.98,Itaú-PJ
2025-07-31,Entrada,Outras Receitas,PIX cliente,27099.8,1451769.78,BB-PJ
2025-07-31,Entrada,Outras Receitas,PIX cliente,53876.89,1505646.67,BB-PJ
2025-07-31,Entrada,Recebimento Cliente,PIX cliente,3601.85,1509248.52,Caixa
2025-07-31,Entrada,Recebimento Cliente,PIX cliente,35373.86,1544622.38,Itaú-PJ
2025-07-31,Saída,Aluguel,Aluguel,-7290.43,1537331.95,BB-PJ
2025-07-31,Saída,Impostos,Impostos,-11256.72,1526075.23,Itaú-PJ
2025-07-31,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-13888.79,1512186.44,Itaú-PJ
2025-07-31,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-16849.11,1495337.33,Itaú-PJ
2025-07-31,Saída,Impostos,Impostos,-20846.06,1474491.27,BB-PJ
2025-07-31,Saída,Folha,Folha,-15055.44,1459435.83,Itaú-PJ
2025-08-01,Entrada,Outras Receitas,PIX cliente,35068.49,1494504.32,Itaú-PJ
2025-08-01,Entrada,Recebimento Cliente,Liquidação boleto,27873.99,1522378.31,Caixa
2025-08-01,Entrada,Recebimento Cliente,Liquidação boleto,22764.49,1545142.8,BB-PJ
2025-08-01,Entrada,Recebimento Cliente,Liquidação boleto,31930.45,1577073.25,Itaú-PJ
2025-08-01,Entrada,Outras Receitas,Liquidação boleto,22136.26,1599209.51,Itaú-PJ
2025-08-01,Saída,Folha,Folha,-23136.31,1576073.2,Itaú-PJ
2025-08-01,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-11077.62,1564995.58,BB-PJ
2025-08-02,Saída,Folha,Folha,-20419.63,1544575.95,BB-PJ
2025-08-02,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-19082.94,1525493.01,Itaú-PJ
2025-08-02,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-8235.72,1517257.29,Itaú-PJ
2025-08-02,Saída,Folha,Folha,-136.9,1517120.39,Itaú-PJ
2025-08-03,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-17630.12,1499490.27,Itaú-PJ
2025-08-03,Saída,Impostos,Impostos,-15343.73,1484146.54,Itaú-PJ
2025-08-04,Entrada,Outras Receitas,PIX cliente,46065.51,1530212.05,BB-PJ
2025-08-04,Entrada,Recebimento Cliente,PIX cliente,34290.6,1564502.65,BB-PJ
2025-08-04,Entrada,Outras Receitas,PIX cliente,16291.33,1580793.98,BB-PJ
2025-08-04,Entrada,Outras Receitas,PIX cliente,29973.25,1610767.23,BB-PJ
2025-08-04,Entrada,Recebimento Cliente,Liquidação boleto,28161.05,1638928.28,Caixa
2025-08-04,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-21875.71,1617052.57,Itaú-PJ
2025-08-04,Saída,Impostos,Impostos,-12555.53,1604497.04,Itaú-PJ
2025-08-04,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-4332.38,1600164.66,Itaú-PJ
2025-08-04,Saída,Aluguel,Aluguel,-11681.84,1588482.82,Itaú-PJ
2025-08-04,Saída,Folha,Folha,-22384.48,1566098.34,Itaú-PJ
2025-08-04,Saída,Folha,Folha,-15931.43,1550166.91,Itaú-PJ
2025-08-05,Entrada,Recebimento Cliente,Liquidação boleto,29599.45,1579766.36,Itaú-PJ
2025-08-05,Entrada,Recebimento Cliente,Liquidação boleto,51860.33,1631626.69,Itaú-PJ
2025-08-05,Entrada,Recebimento Cliente,PIX cliente,15260.11,1646886.8,Itaú-PJ
2025-08-05,Entrada,Recebimento Cliente,PIX cliente,8717.91,1655604.71,Itaú-PJ
2025-08-05,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-11128.21,1644476.5,Itaú-PJ
2025-08-05,Saída,Impostos,Impostos,-6329.97,1638146.53,Itaú-PJ
2025-08-05,Saída,Marketing,Marketing,-15240.97,1622905.56,Itaú-PJ
2025-08-05,Saída,Frete,Frete,-17561.37,1605344.19,BB-PJ
2025-08-05,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-13471.94,1591872.25,Itaú-PJ
2025-08-06,Entrada,Recebimento Cliente,Liquidação boleto,13411.92,1605284.17,Itaú-PJ
2025-08-06,Entrada,Recebimento Cliente,PIX cliente,23878.11,1629162.28,Itaú-PJ
2025-08-06,Entrada,Recebimento Cliente,Liquidação boleto,8235.58,1637397.86,BB-PJ
2025-08-06,Entrada,Recebimento Cliente,PIX cliente,27154.67,1664552.53,BB-PJ
2025-08-06,Entrada,Outras Receitas,Liquidação boleto,500,1665052.53,Itaú-PJ
2025-08-06,Entrada,Recebimento Cliente,Liquidação boleto,34594.32,1699646.85,Caixa
2025-08-06,Saída,Impostos,Impostos,-17500.06,1682146.79,BB-PJ
2025-08-06,Saída,Folha,Folha,-174034.66,1508112.13,Itaú-PJ
2025-08-06,Saída,Folha,Folha,-156859.04,1351253.09,Itaú-PJ
2025-08-06,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-16012.99,1335240.1,Itaú-PJ
2025-08-06,Saída,Marketing,Marketing,-2198.39,1333041.71,BB-PJ
2025-08-06,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-14005.33,1319036.38,Itaú-PJ
2025-08-07,Entrada,Outras Receitas,Liquidação boleto,32131.36,1351167.74,Itaú-PJ
2025-08-07,Entrada,Recebimento Cliente,Liquidação boleto,13215.85,1364383.59,Itaú-PJ
2025-08-07,Entrada,Recebimento Cliente,Liquidação boleto,45557.29,1409940.88,Caixa
2025-08-07,Entrada,Recebimento Cliente,Liquidação boleto,21787.98,1431728.86,BB-PJ
2025-08-07,Saída,Outras,Outras,-23889.14,1407839.72,Itaú-PJ
2025-08-07,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-24518.4,1383321.32,Itaú-PJ
2025-08-07,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-3424.36,1379896.96,BB-PJ
2025-08-08,Entrada,Outras Receitas,PIX cliente,11779.38,1391676.34,Itaú-PJ
2025-08-08,Entrada,Recebimento Cliente,Liquidação boleto,28726.36,1420402.7,Itaú-PJ
2025-08-08,Entrada,Recebimento Cliente,PIX cliente,40753.48,1461156.18,Itaú-PJ
2025-08-08,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-23065.6,1438090.58,Itaú-PJ
2025-08-08,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-16229.53,1421861.05,Itaú-PJ
2025-08-08,Saída,Folha,Folha,-20667.89,1401193.16,Itaú-PJ
2025-08-08,Saída,Folha,Folha,-2026.83,1399166.33,Itaú-PJ
2025-08-08,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-11843.49,1387322.84,Itaú-PJ
2025-08-08,Saída,Frete,Frete,-20181.24,1367141.6,Itaú-PJ
2025-08-09,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-13293.12,1353848.48,Itaú-PJ
2025-08-09,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-6038.16,1347810.32,Itaú-PJ
2025-08-09,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-23020.88,1324789.44,BB-PJ
2025-08-09,Saída,Folha,Folha,-12195.64,1312593.8,Itaú-PJ
2025-08-09,Saída,Folha,Folha,-21605.87,1290987.93,Itaú-PJ
2025-08-10,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-14589.54,1276398.39,BB-PJ
2025-08-10,Saída,Frete,Frete,-25498.33,1250900.06,Itaú-PJ
2025-08-10,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-9027.47,1241872.59,Itaú-PJ
2025-08-10,Saída,Pagamento Fornecedor,Pagamento Fornecedor,-4057.94,1237814.65,Itaú-PJ
2025-08-10,Saída,Impostos,Impostos,-19215.54,1218599.11,Itaú-PJ
2025-08-10,Saída,Outras,Outras,-9612.87,1208986.24,Itaú-PJ
2025-08-11,Entrada,Recebimento Cliente,PIX cliente,40939.51,1249925.75,Caixa
2025-08-11,Entrada,Recebimento Cliente,PIX cliente,22446.96,1272372.71,Itaú-PJ
2025-08-11,Entrada,Outras Receitas,Liquidação boleto,34321.55,1306694.26,Itaú-PJ
2025-08-11,Entrada,Outras Receitas,PIX cliente,21181.32,1327875.58,Itaú-PJ
2025-08-11,Entrada,Recebimento Cliente,Liquidação boleto,37500.99,1365376.57,Itaú-PJ
2025-08-11,Entrada,Recebimento Cliente,Liquidação boleto,25690.31,1391066.88,Caixa
2025-08-11,Saída,Folha,Folha,-13054.96,1378011.92,Itaú-PJ
