cliente_id,razao_social,cnpj,segmento,cidade,uf,vendedor_responsavel,data_primeira_compra,limite_credito,status
AUR-0109,Juliana Pereira Comércio Elétrico Ltda,10.007.739/0001-84,Revenda,Osasco,SP,Carla Mendes,2021-11-17,126932,Ativo
AUR-0110,Juliana Pereira Engenharia Ltda,10.007.810/0001-97,Instaladora,Jundiaí,SP,Diego Salgueiro,2024-07-23,151230,Ativo
AUR-0111,Eduardo Silva Instaladora Ltda,10.007.881/0001-20,Revenda,Sorocaba,SP,Carla Mendes,2025-03-16,154098,Ativo
AUR-0112,Eduardo Costa Comércio Elétrico Ltda,10.007.952/0001-33,Outros,Bauru,SP,Marcos Tavares,2023-08-16,52553,Ativo
AUR-0113,Roberto Santos Construções Ltda,10.008.023/0001-46,Indústria,Ribeirão Preto,SP,Eduarda Carvalho,2025-05-19,497974,Ativo
AUR-0114,Eduardo Almeida Instaladora Ltda,10.008.094/0001-59,Setor Público,Osasco,SP,Marcos Tavares,2021-08-26,368897,Ativo
AUR-0115,Juliana Pereira Materiais Elétricos Ltda,10.008.165/0001-72,Instaladora,Cotia,SP,Roberto Almeida,2024-11-28,83134,Ativo
AUR-0116,Ricardo Almeida Construções Ltda,10.008.236/0001-85,Instaladora,Jundiaí,SP,Carla Mendes,2024-05-14,144179,Ativo
AUR-0117,Fernando Almeida Construções Ltda,10.008.307/0001-98,Indústria,Campinas,SP,Roberto Almeida,2022-01-28,472500,Ativo
AUR-0118,Juliana Pereira Instaladora Ltda,10.008.378/0001-21,Instaladora,Cotia,SP,Carla Mendes,2025-05-03,56571,Ativo
AUR-0119,Ricardo Oliveira Instaladora Ltda,10.008.449/0001-34,Revenda,Uberlândia,MG,Patricia Yoshida,2021-01-20,90440,Ativo
AUR-0120,Ana Fernandes Comércio Elétrico Ltda,10.008.520/0001-47,Setor Público,Belo Horizonte,MG,Diego Salgueiro,2022-08-14,381014,Inativo
AUR-0121,Patrícia Almeida Construções Ltda,10.008.591/0001-60,Instaladora,Bauru,SP,Roberto Almeida,2021-09-24,96955,Inativo
AUR-0122,Juliana Santos Engenharia Ltda,10.008.662/0001-73,Instaladora,São Paulo,SP,Carla Mendes,2022-01-05,89757,Ativo
AUR-0123,Ricardo Costa Comércio Elétrico Ltda,10.008.733/0001-86,Construtora,Santo André,SP,Eduarda Carvalho,2023-02-21,842002,Ativo
AUR-0124,Roberto Oliveira Comércio Elétrico Ltda,10.008.804/0001-99,Instaladora,Sorocaba,SP,Eduarda Carvalho,2024-07-09,40743,Ativo
AUR-0125,Patrícia Almeida Construções Ltda,10.008.875/0001-22,Construtora,Osasco,SP,Patricia Yoshida,2024-05-01,388205,Ativo
AUR-0126,Juliana Fernandes Materiais Elétricos Ltda,10.008.946/0001-35,Revenda,Curitiba,PR,João Bittencourt,2020-09-07,89792,Ativo
AUR-0127,Ricardo Pereira Instaladora Ltda,10.009.017/0001-48,Indústria,São Paulo,SP,Carla Mendes,2020-05-20,142735,Ativo
AUR-0128,Juliana Santos Construções Ltda,10.009.088/0001-61,Revenda,São José dos Campos,SP,João Bittencourt,2025-01-06,239856,Ativo
AUR-0129,Camila Rodrigues Comércio Elétrico Ltda,10.009.159/0001-74,Indústria,Curitiba,PR,Patricia Yoshida,2020-02-01,451914,Ativo
AUR-0130,Ricardo Costa Instaladora Ltda,10.009.230/0001-87,Construtora,Uberlândia,MG,Diego Salgueiro,2021-02-11,369971,Ativo
AUR-0131,Ana Almeida Instaladora Ltda,10.009.301/0001-10,Revenda,São José dos Campos,SP,João Bittencourt,2021-07-22,164524,Ativo
AUR-0132,Ana Santos Instaladora Ltda,10.009.372/0001-23,Indústria,Cotia,SP,Eduarda Carvalho,2021-07-29,368652,Ativo
AUR-0133,Ricardo Almeida Construções Ltda,10.009.443/0001-36,Revenda,Belo Horizonte,MG,Patricia Yoshida,2021-01-04,75723,Ativo
AUR-0134,Vanessa Pereira Materiais Elétricos Ltda,10.009.514/0001-49,Setor Público,Cotia,SP,Roberto Almeida,2023-05-15,326972,Ativo
AUR-0135,Camila Almeida Construções Ltda,10.009.585/0001-62,Revenda,Sorocaba,SP,Roberto Almeida,2020-12-10,118784,Ativo
AUR-0136,Ricardo Silva Comércio Elétrico Ltda,10.009.656/0001-75,Outros,Sorocaba,SP,Carla Mendes,2022-09-09,73636,Ativo
AUR-0137,Roberto Oliveira Comércio Elétrico Ltda,10.009.727/0001-88,Instaladora,Jundiaí,SP,Carla Mendes,2025-05-30,129082,Inativo
AUR-0138,Juliana Almeida Engenharia Ltda,10.009.798/0001-11,Revenda,Bauru,SP,Patricia Yoshida,2022-02-12,116395,Ativo
AUR-0139,Marcos Oliveira Engenharia Ltda,10.009.869/0001-24,Revenda,São Paulo,SP,João Bittencourt,2022-09-14,216296,Ativo
AUR-0140,Fernando Pereira Engenharia Ltda,10.009.940/0001-37,Revenda,Curitiba,PR,Carla Mendes,2020-12-07,187313,Inativo
AUR-0141,Ricardo Pereira Construções Ltda,10.010.011/0001-50,Indústria,Campinas,SP,Patricia Yoshida,2025-02-20,475722,Inativo
AUR-0142,Eduardo Pereira Materiais Elétricos Ltda,10.010.082/0001-63,Instaladora,Cotia,SP,Carla Mendes,2020-12-04,95373,Ativo
AUR-0143,Ricardo Almeida Construções Ltda,10.010.153/0001-76,Instaladora,Jundiaí,SP,Diego Salgueiro,2025-04-12,179613,Ativo
AUR-0144,Vanessa Rodrigues Comércio Elétrico Ltda,10.010.224/0001-89,Revenda,Jundiaí,SP,João Bittencourt,2021-01-26,80411,Ativo
AUR-0145,Roberto Fernandes Materiais Elétricos Ltda,10.010.295/0001-12,Revenda,São Paulo,SP,Roberto Almeida,2024-07-26,65467,Ativo
AUR-0146,Fernando Pereira Materiais Elétricos Ltda,10.010.366/0001-25,Revenda,Campinas,SP,Patricia Yoshida,2023-11-14,164975,Inativo
AUR-0147,Patrícia Almeida Materiais Elétricos Ltda,10.010.437/0001-38,Indústria,Guarulhos,SP,Patricia Yoshida,2023-10-23,179782,Ativo
AUR-0148,Roberto Fernandes Instaladora Ltda,10.010.508/0001-51,Outros,Porto Alegre,RS,Eduarda Carvalho,2020-09-20,69751,Ativo
AUR-0149,Vanessa Almeida Materiais Elétricos Ltda,10.010.579/0001-64,Revenda,Guarulhos,SP,Roberto Almeida,2020-06-30,228556,Ativo
AUR-0150,Camila Santos Materiais Elétricos Ltda,10.010.650/0001-77,Instaladora,Uberlândia,MG,Roberto Almeida,2025-02-11,112004,Ativo
AUR-0151,Ana Rodrigues Instaladora Ltda,10.010.721/0001-90,Instaladora,Porto Alegre,RS,Roberto Almeida,2025-04-17,60114,Ativo
AUR-0152,Vanessa Fernandes Comércio Elétrico Ltda,10.010.792/0001-13,Revenda,Guarulhos,SP,Luana Prado,2020-09-13,230875,Inativo
AUR-0153,Roberto Silva Engenharia Ltda,10.010.863/0001-26,Instaladora,Uberlândia,MG,Luana Prado,2023-12-22,62106,Ativo
AUR-0154,Camila Silva Materiais Elétricos Ltda,10.010.934/0001-39,Instaladora,São Paulo,SP,Patricia Yoshida,2021-06-02,141558,Ativo
AUR-0155,Vanessa Oliveira Materiais Elétricos Ltda,10.011.005/0001-52,Setor Público,São Paulo,SP,João Bittencourt,2024-03-02,746465,Ativo
AUR-0156,Ana Pereira Comércio Elétrico Ltda,10.011.076/0001-65,Instaladora,Jundiaí,SP,João Bittencourt,2022-01-26,142749,Ativo
AUR-0157,Ricardo Santos Instaladora Ltda,10.011.147/0001-78,Indústria,Curitiba,PR,Patricia Yoshida,2021-09-08,488485,Ativo
AUR-0158,Juliana Costa Engenharia Ltda,10.011.218/0001-91,Instaladora,Guarulhos,SP,Carla Mendes,2022-06-09,129583,Ativo
AUR-0159,Ricardo Silva Materiais Elétricos Ltda,10.011.289/0001-14,Construtora,Guarulhos,SP,João Bittencourt,2024-01-10,782351,Ativo
AUR-0160,Roberto Fernandes Construções Ltda,10.011.360/0001-27,Indústria,Belo Horizonte,MG,Patricia Yoshida,2023-02-03,447543,Ativo
AUR-0161,Juliana Costa Comércio Elétrico Ltda,10.011.431/0001-40,Indústria,Campinas,SP,Patricia Yoshida,2020-06-29,269384,Ativo
AUR-0162,Vanessa Fernandes Instaladora Ltda,10.011.502/0001-53,Instaladora,Ribeirão Preto,SP,Eduarda Carvalho,2020-02-12,136427,Ativo
AUR-0163,Roberto Pereira Construções Ltda,10.011.573/0001-66,Instaladora,Juiz de Fora,MG,Diego Salgueiro,2024-08-08,92349,Ativo
AUR-0164,Roberto Pereira Instaladora Ltda,10.011.644/0001-79,Revenda,Curitiba,PR,Carla Mendes,2020-11-06,92683,Inativo
AUR-0165,Marcos Rodrigues Construções Ltda,10.011.715/0001-92,Instaladora,Jundiaí,SP,Roberto Almeida,2023-02-10,158260,Ativo
AUR-0166,Camila Santos Materiais Elétricos Ltda,10.011.786/0001-15,Construtora,Guarulhos,SP,Carla Mendes,2022-07-15,643124,Ativo
AUR-0167,Juliana Fernandes Comércio Elétrico Ltda,10.011.857/0001-28,Revenda,São Paulo,SP,Diego Salgueiro,2025-07-17,242471,Ativo
AUR-0168,Eduardo Costa Materiais Elétricos Ltda,10.011.928/0001-41,Instaladora,Cotia,SP,Carla Mendes,2021-01-17,178352,Ativo
AUR-0169,Juliana Silva Comércio Elétrico Ltda,10.011.999/0001-54,Indústria,Porto Alegre,RS,João Bittencourt,2025-09-26,359659,Ativo
AUR-0170,Ana Almeida Construções Ltda,10.012.070/0001-67,Instaladora,Curitiba,PR,Roberto Almeida,2020-01-23,149200,Ativo
AUR-0171,Fernando Almeida Materiais Elétricos Ltda,10.012.141/0001-80,Instaladora,São Paulo,SP,Patricia Yoshida,2024-12-30,163243,Ativo
AUR-0172,Vanessa Almeida Engenharia Ltda,10.012.212/0001-93,Setor Público,São Paulo,SP,Patricia Yoshida,2021-12-16,644511,Ativo
AUR-0173,Juliana Oliveira Engenharia Ltda,10.012.283/0001-16,Instaladora,São Paulo,SP,João Bittencourt,2020-08-15,161798,Inativo
AUR-0174,Marcos Almeida Materiais Elétricos Ltda,10.012.354/0001-29,Instaladora,Curitiba,PR,Patricia Yoshida,2020-06-11,51483,Ativo
AUR-0175,Camila Silva Materiais Elétricos Ltda,10.012.425/0001-42,Outros,Sorocaba,SP,Carla Mendes,2021-08-17,62395,Ativo
AUR-0176,Fernando Almeida Engenharia Ltda,10.012.496/0001-55,Revenda,Juiz de Fora,MG,João Bittencourt,2021-08-20,254853,Ativo
AUR-0177,Fernando Santos Instaladora Ltda,10.012.567/0001-68,Revenda,Osasco,SP,Roberto Almeida,2022-02-25,129919,Inativo
AUR-0178,Vanessa Rodrigues Engenharia Ltda,10.012.638/0001-81,Instaladora,Uberlândia,MG,Patricia Yoshida,2025-04-12,117500,Ativo
AUR-0179,Marcos Santos Instaladora Ltda,10.012.709/0001-94,Instaladora,Bauru,SP,Roberto Almeida,2023-12-17,154017,Ativo
AUR-0180,Ana Costa Materiais Elétricos Ltda,10.012.780/0001-17,Instaladora,Bauru,SP,Patricia Yoshida,2025-05-23,154864,Ativo
AUR-0181,Camila Fernandes Construções Ltda,10.012.851/0001-30,Indústria,Porto Alegre,RS,Carla Mendes,2021-08-21,355889,Ativo
AUR-0182,Ana Silva Engenharia Ltda,10.012.922/0001-43,Indústria,Juiz de Fora,MG,Roberto Almeida,2024-06-07,266113,Ativo
AUR-0183,Vanessa Pereira Instaladora Ltda,10.012.993/0001-56,Instaladora,Santo André,SP,Carla Mendes,2024-12-03,156987,Ativo
