mes_ref,linha_dre,categoria,valor
2025-04-01,(-) Marketing,Operacional,-32000
2025-04-01,(-) Energia,Operacional,-19600
2025-04-01,(-) Outras Adm,Operacional,-42000
2025-04-01,EBITDA,Resultado,5437.19
2025-04-01,(-) Depreciação,Operacional,-24500
2025-04-01,Lucro Operacional,Resultado,-19062.81
2025-04-01,(-) Desp. Financeiras,Financeira,-13341.82
2025-04-01,Lucro Antes IR,Resultado,-32404.63
2025-04-01,(-) IR/CSLL,Tributário,0
2025-04-01,Lucro Líquido,Resultado,-32404.63
2025-05-01,Receita Bruta,Receita,2032841.87
2025-05-01,(-) Impostos s/ Venda,Dedução,-243941.02
2025-05-01,Receita Líquida,Receita,1788900.85
2025-05-01,(-) CMV,CMV,-1450784.21
2025-05-01,Lucro Bruto,Resultado,338116.64
2025-05-01,(-) Comissões,Operacional,-44722.52
2025-05-01,(-) Salários+Encargos,Operacional,-230000
2025-05-01,(-) Aluguel CD,Operacional,-78000
2025-05-01,(-) Frete Saída,Operacional,-50238.3
2025-05-01,(-) Marketing,Operacional,-32000
2025-05-01,(-) Energia,Operacional,-20000
2025-05-01,(-) Outras Adm,Operacional,-42000
2025-05-01,EBITDA,Resultado,-158844.18
2025-05-01,(-) Depreciação,Operacional,-24500
2025-05-01,Lucro Operacional,Resultado,-183344.18
2025-05-01,(-) Desp. Financeiras,Financeira,-13789.09
2025-05-01,Lucro Antes IR,Resultado,-197133.28
2025-05-01,(-) IR/CSLL,Tributário,0
2025-05-01,Lucro Líquido,Resultado,-197133.28
2025-06-01,Receita Bruta,Receita,1736702.33
2025-06-01,(-) Impostos s/ Venda,Dedução,-208404.28
2025-06-01,Receita Líquida,Receita,1528298.05
2025-06-01,(-) CMV,CMV,-1234847.69
2025-06-01,Lucro Bruto,Resultado,293450.36
2025-06-01,(-) Comissões,Operacional,-38207.45
2025-06-01,(-) Salários+Encargos,Operacional,-232000
2025-06-01,(-) Aluguel CD,Operacional,-78000
2025-06-01,(-) Frete Saída,Operacional,-45084.79
2025-06-01,(-) Marketing,Operacional,-32000
2025-06-01,(-) Energia,Operacional,-20400
2025-06-01,(-) Outras Adm,Operacional,-42000
2025-06-01,EBITDA,Resultado,-194241.88
2025-06-01,(-) Depreciação,Operacional,-24500
2025-06-01,Lucro Operacional,Resultado,-218741.88
2025-06-01,(-) Desp. Financeiras,Financeira,-14236.36
2025-06-01,Lucro Antes IR,Resultado,-232978.25
2025-06-01,(-) IR/CSLL,Tributário,0
2025-06-01,Lucro Líquido,Resultado,-232978.25
2025-07-01,Receita Bruta,Receita,1444259.16
2025-07-01,(-) Impostos s/ Venda,Dedução,-173311.1
2025-07-01,Receita Líquida,Receita,1270948.06
2025-07-01,(-) CMV,CMV,-1043205.97
2025-07-01,Lucro Bruto,Resultado,227742.09
2025-07-01,(-) Comissões,Operacional,-31773.7
2025-07-01,(-) Salários+Encargos,Operacional,-234000
2025-07-01,(-) Aluguel CD,Operacional,-78000
2025-07-01,(-) Frete Saída,Operacional,-39293.48
2025-07-01,(-) Marketing,Operacional,-32000
2025-07-01,(-) Energia,Operacional,-20800
2025-07-01,(-) Outras Adm,Operacional,-42000
2025-07-01,EBITDA,Resultado,-250125.09
2025-07-01,(-) Depreciação,Operacional,-24500
2025-07-01,Lucro Operacional,Resultado,-274625.09
2025-07-01,(-) Desp. Financeiras,Financeira,-14683.64
2025-07-01,Lucro Antes IR,Resultado,-289308.72
2025-07-01,(-) IR/CSLL,Tributário,0
2025-07-01,Lucro Líquido,Resultado,-289308.72
2025-08-01,Receita Bruta,Receita,1532938.35
2025-08-01,(-) Impostos s/ Venda,Dedução,-183952.6
2025-08-01,Receita Líquida,Receita,1348985.75
2025-08-01,(-) CMV,CMV,-1104397.1
2025-08-01,Lucro Bruto,Resultado,244588.65
2025-08-01,(-) Comissões,Operacional,-33724.64
2025-08-01,(-) Salários+Encargos,Operacional,-236000
2025-08-01,(-) Aluguel CD,Operacional,-78000
2025-08-01,(-) Frete Saída,Operacional,-43617.21
2025-08-01,(-) Marketing,Operacional,-32000
2025-08-01,(-) Energia,Operacional,-21200
2025-08-01,(-) Outras Adm,Operacional,-42000
2025-08-01,EBITDA,Resultado,-241953.2
2025-08-01,(-) Depreciação,Operacional,-24500
2025-08-01,Lucro Operacional,Resultado,-266453.2
2025-08-01,(-) Desp. Financeiras,Financeira,-15130.91
2025-08-01,Lucro Antes IR,Resultado,-281584.11
2025-08-01,(-) IR/CSLL,Tributário,0
2025-08-01,Lucro Líquido,Resultado,-281584.11
2025-09-01,Receita Bruta,Receita,2930439.94
2025-09-01,(-) Impostos s/ Venda,Dedução,-351652.79
2025-09-01,Receita Líquida,Receita,2578787.15
2025-09-01,(-) CMV,CMV,-2129545.51
2025-09-01,Lucro Bruto,Resultado,449241.64
2025-09-01,(-) Comissões,Operacional,-64469.68
2025-09-01,(-) Salários+Encargos,Operacional,-238000
2025-09-01,(-) Aluguel CD,Operacional,-78000
2025-09-01,(-) Frete Saída,Operacional,-87034.07
2025-09-01,(-) Marketing,Operacional,-47000
2025-09-01,(-) Energia,Operacional,-21600
2025-09-01,(-) Outras Adm,Operacional,-42000
2025-09-01,EBITDA,Resultado,-128862.11
2025-09-01,(-) Depreciação,Operacional,-24500
2025-09-01,Lucro Operacional,Resultado,-153362.11
2025-09-01,(-) Desp. Financeiras,Financeira,-15578.18
2025-09-01,Lucro Antes IR,Resultado,-168940.29
2025-09-01,(-) IR/CSLL,Tributário,0
2025-09-01,Lucro Líquido,Resultado,-168940.29
2025-10-01,Receita Bruta,Receita,3229045.91
2025-10-01,(-) Impostos s/ Venda,Dedução,-387485.51
2025-10-01,Receita Líquida,Receita,2841560.4
2025-10-01,(-) CMV,CMV,-2371304.24
2025-10-01,Lucro Bruto,Resultado,470256.16
2025-10-01,(-) Comissões,Operacional,-71039.01
2025-10-01,(-) Salários+Encargos,Operacional,-240000
2025-10-01,(-) Aluguel CD,Operacional,-78000
2025-10-01,(-) Frete Saída,Operacional,-99928.21
2025-10-01,(-) Marketing,Operacional,-32000
2025-10-01,(-) Energia,Operacional,-22000
2025-10-01,(-) Outras Adm,Operacional,-42000
2025-10-01,EBITDA,Resultado,-114711.06
2025-10-01,(-) Depreciação,Operacional,-24500
2025-10-01,Lucro Operacional,Resultado,-139211.06
2025-10-01,(-) Desp. Financeiras,Financeira,-16025.45
2025-10-01,Lucro Antes IR,Resultado,-155236.51
2025-10-01,(-) IR/CSLL,Tributário,0
2025-10-01,Lucro Líquido,Resultado,-155236.51
2025-11-01,Receita Bruta,Receita,1963599.55
2025-11-01,(-) Impostos s/ Venda,Dedução,-235631.95
2025-11-01,Receita Líquida,Receita,1727967.6
2025-11-01,(-) CMV,CMV,-1431073.48
2025-11-01,Lucro Bruto,Resultado,296894.12
2025-11-01,(-) Comissões,Operacional,-43199.19
2025-11-01,(-) Salários+Encargos,Operacional,-242000
2025-11-01,(-) Aluguel CD,Operacional,-78000
2025-11-01,(-) Frete Saída,Operacional,-63214.81
2025-11-01,(-) Marketing,Operacional,-32000
2025-11-01,(-) Energia,Operacional,-22400
2025-11-01,(-) Outras Adm,Operacional,-42000
2025-11-01,EBITDA,Resultado,-225919.88
2025-11-01,(-) Depreciação,Operacional,-24500
2025-11-01,Lucro Operacional,Resultado,-250419.88
2025-11-01,(-) Desp. Financeiras,Financeira,-16472.73
2025-11-01,Lucro Antes IR,Resultado,-266892.61
2025-11-01,(-) IR/CSLL,Tributário,0
2025-11-01,Lucro Líquido,Resultado,-266892.61
2025-12-01,Receita Bruta,Receita,1656085.39
2025-12-01,(-) Impostos s/ Venda,Dedução,-198730.25
2025-12-01,Receita Líquida,Receita,1457355.14
2025-12-01,(-) CMV,CMV,-1210364.38
2025-12-01,Lucro Bruto,Resultado,246990.76
2025-12-01,(-) Comissões,Operacional,-36433.88
2025-12-01,(-) Salários+Encargos,Operacional,-244000
2025-12-01,(-) Aluguel CD,Operacional,-78000
2025-12-01,(-) Frete Saída,Operacional,-55379.5
2025-12-01,(-) Marketing,Operacional,-32000
2025-12-01,(-) Energia,Operacional,-22800
2025-12-01,(-) Outras Adm,Operacional,-42000
2025-12-01,EBITDA,Resultado,-263622.61
2025-12-01,(-) Depreciação,Operacional,-24500
2025-12-01,Lucro Operacional,Resultado,-288122.61
2025-12-01,(-) Desp. Financeiras,Financeira,-16920.0
2025-12-01,Lucro Antes IR,Resultado,-305042.61
2025-12-01,(-) IR/CSLL,Tributário,0
2025-12-01,Lucro Líquido,Resultado,-305042.61
