titulo_id,pedido_id,cliente_id,razao_social,data_emissao,data_vencimento,data_pagamento,valor_titulo,valor_pago,status,dias_atraso,forma_pagamento
REC-50042,PED-106191,AUR-0301,Roberto Oliveira Construções Ltda,2025-01-01,2025-01-16,2025-01-15,341.57,341.57,Pago,0,Boleto
REC-50043,PED-106192,AUR-0031,InfraOne ME,2025-01-02,2025-01-17,2025-01-20,396.62,396.62,Pago,3,PIX
REC-50044,PED-106193,AUR-0143,Ricardo Almeida Construções Ltda,2025-01-02,2025-02-01,2025-01-30,372.68,372.68,Pago,0,PIX
REC-50045,PED-106193,AUR-0143,Ricardo Almeida Construções Ltda,2025-01-02,2025-02-01,2025-02-05,865.12,865.12,Pago,4,Cartão
REC-50046,PED-106193,AUR-0143,Ricardo Almeida Construções Ltda,2025-01-02,2025-01-30,2025-01-28,316.39,316.39,Pago,0,Boleto
REC-50047,PED-106193,AUR-0143,Ricardo Almeida Construções Ltda,2025-01-02,2025-01-17,,2637.68,0,Vencido,348,Cartão
REC-50048,PED-106193,AUR-0143,Ricardo Almeida Construções Ltda,2025-01-02,2025-02-01,,904.36,452.18,Renegociado,0,Cartão
REC-50049,PED-106194,AUR-0158,Juliana Costa Engenharia Ltda,2025-01-02,2025-01-17,2025-01-20,1634.03,1634.03,Pago,3,PIX
REC-50050,PED-106195,AUR-0259,Ana Pereira Engenharia Ltda,2025-01-02,2025-01-17,,825.72,412.86,Renegociado,0,PIX
REC-50051,PED-106195,AUR-0259,Ana Pereira Engenharia Ltda,2025-01-02,2025-02-01,2025-02-27,410.07,410.07,Pago,26,Cartão
REC-50052,PED-106195,AUR-0259,Ana Pereira Engenharia Ltda,2025-01-02,2025-01-02,2025-01-07,511.31,511.31,Pago,5,PIX
REC-50053,PED-106195,AUR-0259,Ana Pereira Engenharia Ltda,2025-01-02,2025-01-02,2025-01-02,1057.99,1057.99,Pago,0,Cartão
REC-50054,PED-106196,AUR-0060,Eduardo Fernandes Engenharia Ltda,2025-01-02,2025-01-17,2025-01-15,2729.4,2729.4,Pago,0,PIX
REC-50055,PED-106196,AUR-0060,Eduardo Fernandes Engenharia Ltda,2025-01-02,2025-01-30,2025-01-31,7865.88,7865.88,Pago,1,PIX
REC-50056,PED-106197,AUR-0353,Patrícia Santos Construções Ltda,2025-01-02,2025-01-02,2025-01-13,140.37,140.37,Pago,11,Boleto
REC-50057,PED-106197,AUR-0353,Patrícia Santos Construções Ltda,2025-01-02,2025-02-01,,1236.32,0,Vencido,333,Boleto
REC-50058,PED-106198,AUR-0247,Ricardo Silva Comércio Elétrico Ltda,2025-01-02,2025-01-02,2025-01-02,808.18,808.18,Pago,0,Boleto
REC-50059,PED-106198,AUR-0247,Ricardo Silva Comércio Elétrico Ltda,2025-01-02,2025-01-02,2024-12-31,2279.61,2279.61,Pago,0,Boleto
REC-50060,PED-106198,AUR-0247,Ricardo Silva Comércio Elétrico Ltda,2025-01-02,2025-01-02,2024-12-31,2679.56,2679.56,Pago,0,Boleto
REC-50061,PED-106199,AUR-0205,Marcos Fernandes Materiais Elétricos Ltda,2025-01-02,2025-01-17,2025-01-18,1340.45,1340.45,Pago,1,Cartão
REC-50062,PED-106199,AUR-0205,Marcos Fernandes Materiais Elétricos Ltda,2025-01-02,2025-02-01,2025-02-13,441.22,441.22,Pago,12,PIX
REC-50063,PED-106199,AUR-0205,Marcos Fernandes Materiais Elétricos Ltda,2025-01-02,2025-02-01,2025-02-06,1065.77,1065.77,Pago,5,PIX
REC-50064,PED-106199,AUR-0205,Marcos Fernandes Materiais Elétricos Ltda,2025-01-02,2025-02-01,,391.14,0,Vencido,333,Cartão
REC-50065,PED-106200,AUR-0161,Juliana Costa Comércio Elétrico Ltda,2025-01-02,2025-01-02,2025-01-01,243.31,243.31,Pago,0,Boleto
REC-50066,PED-106201,AUR-0077,Fernando Fernandes Comércio Elétrico Ltda,2025-01-02,2025-01-02,2024-12-31,1482.25,1482.25,Pago,0,PIX
REC-50067,PED-106201,AUR-0077,Fernando Fernandes Comércio Elétrico Ltda,2025-01-02,2025-02-01,2025-02-02,131.74,131.74,Pago,1,Boleto
REC-50068,PED-106201,AUR-0077,Fernando Fernandes Comércio Elétrico Ltda,2025-01-02,2025-01-02,,303.36,0,Vencido,363,Boleto
REC-50069,PED-106201,AUR-0077,Fernando Fernandes Comércio Elétrico Ltda,2025-01-02,2025-02-01,2025-01-31,3420.87,3420.87,Pago,0,Cartão
REC-50070,PED-106201,AUR-0077,Fernando Fernandes Comércio Elétrico Ltda,2025-01-02,2025-01-30,2025-02-02,248.17,248.17,Pago,3,PIX
REC-50071,PED-106201,AUR-0077,Fernando Fernandes Comércio Elétrico Ltda,2025-01-02,2025-01-17,2025-01-21,33.07,33.07,Pago,4,Cartão
REC-50072,PED-106202,AUR-0307,Ana Silva Materiais Elétricos Ltda,2025-01-02,2025-01-17,2025-01-20,5055.8,5055.8,Pago,3,Cartão
REC-50073,PED-106203,AUR-0377,Vanessa Costa Materiais Elétricos Ltda,2025-01-02,2025-01-30,2025-02-03,2935.61,2935.61,Pago,4,PIX
REC-50074,PED-106204,AUR-0082,Roberto Fernandes Construções Ltda,2025-01-02,2025-01-02,2025-01-18,264.24,264.24,Pago,16,PIX
REC-50075,PED-106204,AUR-0082,Roberto Fernandes Construções Ltda,2025-01-02,2025-01-02,2025-01-19,45.24,45.24,Pago,17,Boleto
REC-50076,PED-106204,AUR-0082,Roberto Fernandes Construções Ltda,2025-01-02,2025-01-17,2025-01-19,707.25,707.25,Pago,2,PIX
REC-50077,PED-106205,AUR-0354,Eduardo Santos Comércio Elétrico Ltda,2025-01-02,2025-01-17,2025-01-16,172.56,172.56,Pago,0,Cartão
REC-50078,PED-106205,AUR-0354,Eduardo Santos Comércio Elétrico Ltda,2025-01-02,2025-01-17,2025-01-22,997.02,997.02,Pago,5,PIX
REC-50079,PED-106205,AUR-0354,Eduardo Santos Comércio Elétrico Ltda,2025-01-02,2025-02-01,2025-01-31,302.92,302.92,Pago,0,PIX
REC-50080,PED-106205,AUR-0354,Eduardo Santos Comércio Elétrico Ltda,2025-01-02,2025-01-17,2025-01-15,390.03,390.03,Pago,0,Boleto
REC-50081,PED-106205,AUR-0354,Eduardo Santos Comércio Elétrico Ltda,2025-01-02,2025-01-30,2025-02-03,327.63,327.63,Pago,4,Cartão
REC-50082,PED-106206,AUR-0212,Juliana Pereira Instaladora Ltda,2025-01-02,2025-01-30,2025-02-02,1308.89,1308.89,Pago,3,Boleto
REC-50083,PED-106206,AUR-0212,Juliana Pereira Instaladora Ltda,2025-01-02,2025-01-17,2025-01-21,1622.63,1622.63,Pago,4,Cartão
REC-50084,PED-106206,AUR-0212,Juliana Pereira Instaladora Ltda,2025-01-02,2025-01-30,2025-02-01,357.95,357.95,Pago,2,PIX
REC-50085,PED-106207,AUR-0078,Fernando Costa Materiais Elétricos Ltda,2025-01-02,2025-02-16,2025-02-15,2503.51,2503.51,Pago,0,PIX
REC-50086,PED-106207,AUR-0078,Fernando Costa Materiais Elétricos Ltda,2025-01-02,2025-02-01,2025-02-04,560.0,560.0,Pago,3,Boleto
REC-50087,PED-106208,AUR-0319,Vanessa Costa Instaladora Ltda,2025-01-03,2025-01-31,,288.56,0,Vencido,334,PIX
REC-50088,PED-106208,AUR-0319,Vanessa Costa Instaladora Ltda,2025-01-03,2025-01-18,2025-02-15,55.82,55.82,Pago,28,Cartão
REC-50089,PED-106208,AUR-0319,Vanessa Costa Instaladora Ltda,2025-01-03,2025-01-18,,102.43,0,Vencido,347,PIX
REC-50090,PED-106208,AUR-0319,Vanessa Costa Instaladora Ltda,2025-01-03,2025-01-03,2025-01-15,311.84,311.84,Pago,12,Boleto
REC-50091,PED-106209,AUR-0282,Fernando Oliveira Comércio Elétrico Ltda,2025-01-03,2025-01-31,2025-03-09,1731.71,1731.71,Pago,37,PIX
REC-50092,PED-106209,AUR-0282,Fernando Oliveira Comércio Elétrico Ltda,2025-01-03,2025-02-02,2025-03-05,633.57,633.57,Pago,31,Cartão
REC-50093,PED-106209,AUR-0282,Fernando Oliveira Comércio Elétrico Ltda,2025-01-03,2025-01-18,2025-01-17,724.74,724.74,Pago,0,Boleto
REC-50094,PED-106209,AUR-0282,Fernando Oliveira Comércio Elétrico Ltda,2025-01-03,2025-02-02,,447.14,0,Vencido,332,Boleto
REC-50095,PED-106210,AUR-0302,Roberto Rodrigues Comércio Elétrico Ltda,2025-01-03,2025-01-18,2025-02-23,1034.73,1034.73,Pago,36,Boleto
REC-50096,PED-106210,AUR-0302,Roberto Rodrigues Comércio Elétrico Ltda,2025-01-03,2025-01-03,2025-01-02,1637.81,1637.81,Pago,0,PIX
REC-50097,PED-106211,AUR-0370,Fernando Silva Engenharia Ltda,2025-01-03,2025-02-02,2025-02-12,95.19,95.19,Pago,10,Cartão
REC-50098,PED-106212,AUR-0178,Vanessa Rodrigues Engenharia Ltda,2025-01-03,2025-02-02,2025-02-05,1081.74,1081.74,Pago,3,Boleto
REC-50099,PED-106213,AUR-0321,Marcos Rodrigues Materiais Elétricos Ltda,2025-01-03,2025-01-31,2025-02-02,72.59,72.59,Pago,2,PIX
REC-50100,PED-106213,AUR-0321,Marcos Rodrigues Materiais Elétricos Ltda,2025-01-03,2025-01-18,2025-02-06,1081.8,1081.8,Pago,19,PIX
REC-50101,PED-106213,AUR-0321,Marcos Rodrigues Materiais Elétricos Ltda,2025-01-03,2025-02-02,2025-02-05,138.32,138.32,Pago,3,Cartão
REC-50102,PED-106213,AUR-0321,Marcos Rodrigues Materiais Elétricos Ltda,2025-01-03,2025-01-18,2025-01-20,161.38,161.38,Pago,2,Cartão
REC-50103,PED-106213,AUR-0321,Marcos Rodrigues Materiais Elétricos Ltda,2025-01-03,2025-01-31,,225.96,112.98,Renegociado,0,Boleto
REC-50104,PED-106214,AUR-0028,Saber Engenharia S/A,2025-01-03,2025-01-31,2025-02-17,388.36,388.36,Pago,17,Boleto
REC-50105,PED-106214,AUR-0028,Saber Engenharia S/A,2025-01-03,2025-01-31,,757.33,0,Vencido,334,Boleto
REC-50106,PED-106215,AUR-0379,Camila Santos Engenharia Ltda,2025-01-03,2025-01-03,,430.7,0,Vencido,362,PIX
REC-50107,PED-106216,AUR-0176,Fernando Almeida Engenharia Ltda,2025-01-03,2025-01-03,2025-01-08,1064.99,1064.99,Pago,5,PIX
REC-50108,PED-106216,AUR-0176,Fernando Almeida Engenharia Ltda,2025-01-03,2025-01-18,,183.07,91.535,Renegociado,0,PIX
REC-50109,PED-106216,AUR-0176,Fernando Almeida Engenharia Ltda,2025-01-03,2025-01-03,2025-01-02,27.07,27.07,Pago,0,PIX
REC-50110,PED-106216,AUR-0176,Fernando Almeida Engenharia Ltda,2025-01-03,2025-01-18,2025-01-20,241.92,241.92,Pago,2,Cartão
REC-50111,PED-106216,AUR-0176,Fernando Almeida Engenharia Ltda,2025-01-03,2025-01-31,,111.68,55.84,Renegociado,0,Boleto
REC-50112,PED-106217,AUR-0110,Juliana Pereira Engenharia Ltda,2025-01-03,2025-02-02,2025-01-31,530.59,530.59,Pago,0,PIX
REC-50113,PED-106217,AUR-0110,Juliana Pereira Engenharia Ltda,2025-01-03,2025-02-02,2025-02-03,2181.54,2181.54,Pago,1,Cartão
REC-50114,PED-106218,AUR-0059,Ricardo Rodrigues Comércio Elétrico Ltda,2025-01-03,2025-02-02,,944.42,472.21,Renegociado,0,Boleto
REC-50115,PED-106219,AUR-0200,Ana Rodrigues Comércio Elétrico Ltda,2025-01-03,2025-01-31,2025-02-04,443.32,443.32,Pago,4,Cartão
REC-50116,PED-106219,AUR-0200,Ana Rodrigues Comércio Elétrico Ltda,2025-01-03,2025-01-31,2025-02-03,252.49,252.49,Pago,3,Cartão
REC-50117,PED-106220,AUR-0313,Fernando Pereira Comércio Elétrico Ltda,2025-01-03,2025-02-02,2025-02-06,500.99,500.99,Pago,4,PIX
REC-50118,PED-106220,AUR-0313,Fernando Pereira Comércio Elétrico Ltda,2025-01-03,2025-03-04,2025-03-05,1624.84,1624.84,Pago,1,Boleto
REC-50119,PED-106220,AUR-0313,Fernando Pereira Comércio Elétrico Ltda,2025-01-03,2025-03-04,2025-03-09,71.52,71.52,Pago,5,Boleto
REC-50120,PED-106220,AUR-0313,Fernando Pereira Comércio Elétrico Ltda,2025-01-03,2025-02-02,2025-02-12,283.61,283.61,Pago,10,PIX
REC-50121,PED-106220,AUR-0313,Fernando Pereira Comércio Elétrico Ltda,2025-01-03,2025-02-17,2025-02-19,146.65,146.65,Pago,2,Boleto
REC-50122,PED-106220,AUR-0313,Fernando Pereira Comércio Elétrico Ltda,2025-01-03,2025-02-17,2025-03-22,132.14,132.14,Pago,33,PIX
REC-50123,PED-106221,AUR-0092,Roberto Rodrigues Instaladora Ltda,2025-01-03,2025-01-18,2025-02-24,1490.35,1490.35,Pago,37,Cartão
REC-50124,PED-106221,AUR-0092,Roberto Rodrigues Instaladora Ltda,2025-01-03,2025-01-31,2025-02-01,1220.77,1220.77,Pago,1,Cartão
REC-50125,PED-106221,AUR-0092,Roberto Rodrigues Instaladora Ltda,2025-01-03,2025-01-18,2025-01-16,1131.01,1131.01,Pago,0,Cartão
REC-50126,PED-106221,AUR-0092,Roberto Rodrigues Instaladora Ltda,2025-01-03,2025-01-31,2025-02-02,73.67,73.67,Pago,2,PIX
REC-50127,PED-106221,AUR-0092,Roberto Rodrigues Instaladora Ltda,2025-01-03,2025-01-03,,89.91,0,Vencido,362,Boleto
REC-50128,PED-106221,AUR-0092,Roberto Rodrigues Instaladora Ltda,2025-01-03,2025-02-02,,1349.39,0,Vencido,332,Boleto
REC-50129,PED-106222,AUR-0235,Eduardo Costa Comércio Elétrico Ltda,2025-01-03,2025-01-31,2025-01-31,56.37,56.37,Pago,0,Cartão
REC-50130,PED-106222,AUR-0235,Eduardo Costa Comércio Elétrico Ltda,2025-01-03,2025-01-18,,880.18,0,Vencido,347,Cartão
REC-50131,PED-106223,AUR-0278,Fernando Oliveira Engenharia Ltda,2025-01-03,2025-02-02,2025-03-10,917.39,917.39,Pago,36,PIX
REC-50132,PED-106223,AUR-0278,Fernando Oliveira Engenharia Ltda,2025-01-03,2025-01-31,,3390.07,1695.035,Renegociado,0,PIX
REC-50133,PED-106224,AUR-0153,Roberto Silva Engenharia Ltda,2025-01-03,2025-01-31,2025-02-03,1628.32,1628.32,Pago,3,PIX
REC-50134,PED-106224,AUR-0153,Roberto Silva Engenharia Ltda,2025-01-03,2025-02-02,,297.49,0,Vencido,332,PIX
REC-50135,PED-106224,AUR-0153,Roberto Silva Engenharia Ltda,2025-01-03,2025-01-31,2025-02-04,268.8,268.8,Pago,4,Boleto
REC-50136,PED-106224,AUR-0153,Roberto Silva Engenharia Ltda,2025-01-03,2025-01-31,2025-02-10,1131.28,1131.28,Pago,10,Boleto
REC-50137,PED-106225,AUR-0358,Vanessa Oliveira Construções Ltda,2025-01-03,2025-01-03,2025-01-19,410.64,410.64,Pago,16,Cartão
REC-50138,PED-106225,AUR-0358,Vanessa Oliveira Construções Ltda,2025-01-03,2025-01-03,2025-01-02,221.17,221.17,Pago,0,Boleto
REC-50139,PED-106225,AUR-0358,Vanessa Oliveira Construções Ltda,2025-01-03,2025-01-18,2025-01-22,26.03,26.03,Pago,4,Boleto
REC-50140,PED-106225,AUR-0358,Vanessa Oliveira Construções Ltda,2025-01-03,2025-01-31,2025-01-29,386.4,386.4,Pago,0,Boleto
REC-50141,PED-106226,AUR-0124,Roberto Oliveira Comércio Elétrico Ltda,2025-01-03,2025-01-31,2025-01-31,2572.75,2572.75,Pago,0,Boleto
REC-50142,PED-106226,AUR-0124,Roberto Oliveira Comércio Elétrico Ltda,2025-01-03,2025-01-18,,543.23,0,Vencido,347,Boleto
REC-50143,PED-106226,AUR-0124,Roberto Oliveira Comércio Elétrico Ltda,2025-01-03,2025-01-18,2025-01-16,816.23,816.23,Pago,0,Cartão
REC-50144,PED-106226,AUR-0124,Roberto Oliveira Comércio Elétrico Ltda,2025-01-03,2025-01-31,2025-02-02,152.49,152.49,Pago,2,Boleto
REC-50145,PED-106227,AUR-0078,Fernando Costa Materiais Elétricos Ltda,2025-01-05,2025-03-06,2025-03-29,1090.0,1090.0,Pago,23,PIX
REC-50146,PED-106227,AUR-0078,Fernando Costa Materiais Elétricos Ltda,2025-01-05,2025-02-19,,698.63,0,Vencido,315,PIX
REC-50147,PED-106228,AUR-0181,Camila Fernandes Construções Ltda,2025-01-05,2025-01-20,2025-01-22,252.67,252.67,Pago,2,Cartão
REC-50148,PED-106228,AUR-0181,Camila Fernandes Construções Ltda,2025-01-05,2025-02-02,2025-02-01,3271.52,3271.52,Pago,0,Boleto
REC-50149,PED-106228,AUR-0181,Camila Fernandes Construções Ltda,2025-01-05,2025-01-05,2025-01-19,396.21,396.21,Pago,14,Cartão
REC-50150,PED-106229,AUR-0024,Marcos Costa Construções Ltda,2025-01-05,2025-03-06,2025-04-12,296.89,296.89,Pago,37,Boleto
REC-50151,PED-106229,AUR-0024,Marcos Costa Construções Ltda,2025-01-05,2025-02-19,2025-02-24,2548.13,2548.13,Pago,5,PIX
REC-50152,PED-106229,AUR-0024,Marcos Costa Construções Ltda,2025-01-05,2025-02-19,2025-02-17,163.32,163.32,Pago,0,Boleto
REC-50153,PED-106229,AUR-0024,Marcos Costa Construções Ltda,2025-01-05,2025-02-04,2025-02-03,1169.2,1169.2,Pago,0,PIX
REC-50154,PED-106229,AUR-0024,Marcos Costa Construções Ltda,2025-01-05,2025-03-06,2025-03-10,467.56,467.56,Pago,4,PIX
REC-50155,PED-106229,AUR-0024,Marcos Costa Construções Ltda,2025-01-05,2025-02-19,,2179.74,0,Vencido,315,PIX
REC-50156,PED-106230,AUR-0105,Juliana Silva Comércio Elétrico Ltda,2025-01-05,2025-01-20,,1069.13,0,Vencido,345,Boleto
REC-50157,PED-106230,AUR-0105,Juliana Silva Comércio Elétrico Ltda,2025-01-05,2025-02-02,2025-02-18,411.18,411.18,Pago,16,Boleto
REC-50158,PED-106231,AUR-0208,Roberto Costa Comércio Elétrico Ltda,2025-01-06,2025-01-06,2025-02-10,368.28,368.28,Pago,35,PIX
REC-50159,PED-106231,AUR-0208,Roberto Costa Comércio Elétrico Ltda,2025-01-06,2025-01-21,2025-01-23,270.47,270.47,Pago,2,Cartão
REC-50160,PED-106231,AUR-0208,Roberto Costa Comércio Elétrico Ltda,2025-01-06,2025-01-21,2025-01-26,883.9,883.9,Pago,5,PIX
REC-50161,PED-106231,AUR-0208,Roberto Costa Comércio Elétrico Ltda,2025-01-06,2025-02-03,,3920.98,1960.49,Renegociado,0,Boleto
REC-50162,PED-106231,AUR-0208,Roberto Costa Comércio Elétrico Ltda,2025-01-06,2025-01-21,,2175.78,0,Vencido,344,Cartão
REC-50163,PED-106232,AUR-0134,Vanessa Pereira Materiais Elétricos Ltda,2025-01-06,2025-01-21,,1267.91,0,Vencido,344,Cartão
REC-50164,PED-106232,AUR-0134,Vanessa Pereira Materiais Elétricos Ltda,2025-01-06,2025-02-05,,686.28,343.14,Renegociado,0,PIX
REC-50165,PED-106232,AUR-0134,Vanessa Pereira Materiais Elétricos Ltda,2025-01-06,2025-02-03,,225.58,112.79,Renegociado,0,PIX
REC-50166,PED-106232,AUR-0134,Vanessa Pereira Materiais Elétricos Ltda,2025-01-06,2025-01-21,2025-01-25,4236.13,4236.13,Pago,4,Cartão
REC-50167,PED-106233,AUR-0136,Ricardo Silva Comércio Elétrico Ltda,2025-01-06,2025-01-21,2025-01-21,878.46,878.46,Pago,0,Cartão
REC-50168,PED-106233,AUR-0136,Ricardo Silva Comércio Elétrico Ltda,2025-01-06,2025-02-05,2025-03-04,2053.12,2053.12,Pago,27,PIX
REC-50169,PED-106233,AUR-0136,Ricardo Silva Comércio Elétrico Ltda,2025-01-06,2025-02-05,2025-02-08,114.43,114.43,Pago,3,PIX
REC-50170,PED-106233,AUR-0136,Ricardo Silva Comércio Elétrico Ltda,2025-01-06,2025-02-03,2025-02-06,1076.74,1076.74,Pago,3,PIX
REC-50171,PED-106233,AUR-0136,Ricardo Silva Comércio Elétrico Ltda,2025-01-06,2025-01-06,2025-01-04,1623.24,1623.24,Pago,0,PIX
REC-50172,PED-106233,AUR-0136,Ricardo Silva Comércio Elétrico Ltda,2025-01-06,2025-01-06,,1009.11,0,Vencido,359,Cartão
REC-50173,PED-106234,AUR-0365,Patrícia Oliveira Materiais Elétricos Ltda,2025-01-06,2025-01-21,2025-01-20,2800.98,2800.98,Pago,0,Cartão
REC-50174,PED-106235,AUR-0075,Juliana Costa Instaladora Ltda,2025-01-06,2025-02-05,2025-02-06,13.32,13.32,Pago,1,Boleto
REC-50175,PED-106235,AUR-0075,Juliana Costa Instaladora Ltda,2025-01-06,2025-02-03,,533.44,0,Vencido,331,PIX
REC-50176,PED-106235,AUR-0075,Juliana Costa Instaladora Ltda,2025-01-06,2025-02-05,2025-02-03,1777.33,1777.33,Pago,0,PIX
REC-50177,PED-106236,AUR-0271,Ricardo Rodrigues Comércio Elétrico Ltda,2025-01-06,2025-01-06,2025-01-11,816.94,816.94,Pago,5,Boleto
